route_id,agency_id,route_short_name,route_long_name,route_url
8__461___,CRTM,461,MADRID (Plaza Elíptica)-PARLA,https://www.crtm.es/8__461___.aspx
8__462___,CRTM,462,PARLA-GETAFE,https://www.crtm.es/8__462___.aspx
8__463___,CRTM,463,MADRID (Plaza Elíptica)-PARLA-TORREJÓN DE VELASCO,https://www.crtm.es/8__463___.aspx
8__464___,CRTM,464,MADRID (Plaza Elíptica)-PARLA-YUNCLILLOS,https://www.crtm.es/8__464___.aspx
8__466___,CRTM,466,PARLA-VALDEMORO,https://www.crtm.es/8__466___.aspx
8__468___,CRTM,468,GETAFE-GRIÑÓN/CASARRUBUELOS/SERRANILLOS,https://www.crtm.es/8__468___.aspx
8__469___,CRTM,469,MADRID (Plaza Elíptica)-PARLA (Parla Este),https://www.crtm.es/8__469___.aspx
8__470___,CRTM,470,MADRID (Plaza Elíptica) - HUMANES - GRIÑÓN-SERRANILLOS,https://www.crtm.es/8__470___.aspx
8__471___,CRTM,471,HUMANES-FUENLABRADA-PARLA-PINTO,https://www.crtm.es/8__471___.aspx
8__560___,CRTM,560,POZUELO DE ALARCÓN-ALCORCÓN,https://www.crtm.es/8__560___.aspx
8__561___,CRTM,561,MADRID (Aluche)-POZUELO-MAJADAHONDA-LAS ROZAS,https://www.crtm.es/8__561___.aspx
8__561_A__,CRTM,561A,MADRID (Aluche)-POZUELO-MAJADAHONDA-LAS ROZAS (por Universidad),https://www.crtm.es/8__561_A__.aspx
8__561_B__,CRTM,561B,MADRID (Aluche)-POZUELO-MAJADAHONDA-LAS ROZAS (por Avenida Guadarrama),https://www.crtm.es/8__561_B__.aspx
8__562___,CRTM,562,MADRID (Aluche)-POZUELO DE ALARCÓN,https://www.crtm.es/8__562___.aspx
8__563___,CRTM,563,MADRID (Aluche)-POZUELO (Por Urbanización Las Minas),https://www.crtm.es/8__563___.aspx
8__564___,CRTM,564,MADRID (Aluche)-POZUELO (Por Somosaguas Sur),https://www.crtm.es/8__564___.aspx
8__565___,CRTM,565,POZUELO (Estación El Barrial) - BOADILLA (Estación Puerta de Boadilla),https://www.crtm.es/8__565___.aspx
8__566___,CRTM,566,BOADILLA DEL MONTE-POZUELO DE ALARCÓN,https://www.crtm.es/8__566___.aspx
8__567___,CRTM,567,VILLAVICIOSA DE ODÓN-MAJADAHONDA,https://www.crtm.es/8__567___.aspx
8__610___,CRTM,610,TORRELODONES-HOYO DE MANZANARES-COLMENAR VIEJO,https://www.crtm.es/8__610___.aspx
8__611___,CRTM,611,MADRID (Moncloa)-HOYO DE MANZANARES,https://www.crtm.es/8__611___.aspx
8__611_A__,CRTM,611A,MADRID (Moncloa)-HOYO DE MANZANARES (Por Urbanización Las Colinas),https://www.crtm.es/8__611_A__.aspx
8__612___,CRTM,612,MADRID (Moncloa)-TORRELODONES,https://www.crtm.es/8__612___.aspx
8__613___,CRTM,613,MADRID (Moncloa)-TORRELODONES (Por Centro Comercial),https://www.crtm.es/8__613___.aspx
8__650_A__,CRTM,650A,CIRCULAR POZUELO- MAJADAHONDA - POZUELO,https://www.crtm.es/8__650_A__.aspx
8__650_B__,CRTM,650B,CIRCULAR POZUELO- MAJADAHONDA - POZUELO,https://www.crtm.es/8__650_B__.aspx
8__651___,CRTM,651,MADRID (Moncloa)-MAJADAHONDA (Avenida de España),https://www.crtm.es/8__651___.aspx
8__652___,CRTM,652,MADRID (Moncloa)-MAJADAHONDA (Carril del Tejar),https://www.crtm.es/8__652___.aspx
8__653___,CRTM,653,MADRID (Moncloa)-MAJADAHONDA (Hospital) (Por FFCC),https://www.crtm.es/8__653___.aspx
8__654___,CRTM,654,MADRID (Moncloa) - MAJADAHONDA (Urbanización Los Satélites),https://www.crtm.es/8__654___.aspx
8__655___,CRTM,655,MADRID (Moncloa)-MAJADAHONDA (Hospital),https://www.crtm.es/8__655___.aspx
8__656___,CRTM,656,MADRID (Moncloa)-POZUELO DE ALARCÓN,https://www.crtm.es/8__656___.aspx
8__656_A__,CRTM,656A,MADRID (Moncloa)-POZUELO-URB.LA CABAÑA,https://www.crtm.es/8__656_A__.aspx
8__657___,CRTM,657,MADRID (Moncloa)-POZUELO (Monteclaro),https://www.crtm.es/8__657___.aspx
8__657_A__,CRTM,657A,MADRID (Moncloa) - POZUELO (San Juan de la Cruz),https://www.crtm.es/8__657_A__.aspx
8__658___,CRTM,658,MADRID (Moncloa)-POZUELO (Prado Somosaguas-Ciudad de la Imagen),https://www.crtm.es/8__658___.aspx
8__658_A__,CRTM,658A,MADRID (Moncloa) - POZUELO (C.C. LaFinca),https://www.crtm.es/8__658_A__.aspx
8__659___,CRTM,659,MADRID (Moncloa) - Univ. Fco. de Vitoria - El Pinar del Plantío,https://www.crtm.es/8__659___.aspx
8__680___,CRTM,680,COLLADO VILLALBA (Hospital)-CERCEDILLA,https://www.crtm.es/8__680___.aspx
8__681___,CRTM,681,MADRID (Moncloa)-ALPEDRETE,https://www.crtm.es/8__681___.aspx
8__682___,CRTM,682,MADRID (Moncloa)-VILLALBA-GUADARRAMA,https://www.crtm.es/8__682___.aspx
8__683___,CRTM,683,MADRID (Moncloa)-COLLADO MEDIANO,https://www.crtm.es/8__683___.aspx
8__684___,CRTM,684,MADRID (Moncloa)-CERCEDILLA (por Guadarrama),https://www.crtm.es/8__684___.aspx
8__685___,CRTM,685,MAJADAHONDA (Hospital) - LAS ROZAS - GUADARRAMA,https://www.crtm.es/8__685___.aspx
8__686___,CRTM,686,MADRID (Moncloa)-TORRELODONES (Por Los Peñascales),https://www.crtm.es/8__686___.aspx
8__686_A__,CRTM,686A,MADRID (Moncloa)-TORRELODONES (Por Montealegre),https://www.crtm.es/8__686_A__.aspx
8__687___,CRTM,687,MADRID (Moncloa)-COLLADO VILLALBA,https://www.crtm.es/8__687___.aspx
8__688___,CRTM,688,MADRID (Moncloa)-LOS MOLINOS,https://www.crtm.es/8__688___.aspx
8__690___,CRTM,690,GUADARRAMA-COLLADO MEDIANO-NAVACERRADA,https://www.crtm.es/8__690___.aspx
8__691___,CRTM,691,MADRID (Moncloa)-BECERRIL-NAVACERRADA-VALDESQUI,https://www.crtm.es/8__691___.aspx
8__692___,CRTM,692,LOS MOLINOS - CERCEDILLA - VALDESQUÍ,https://www.crtm.es/8__692___.aspx
8__696___,CRTM,696,COLLADO VILLALBA (Hospital)-NAVACERRADA,https://www.crtm.es/8__696___.aspx
8__815___,CRTM,815,MADRID (Estación Chamartín)-POZUELO DE ALARCÓN,https://www.crtm.es/8__815___.aspx
8__822___,CRTM,822,MADRID (Aeropuerto)-COSLADA-SAN FERNANDO DE HENARES,https://www.crtm.es/8__822___.aspx
8_N_203___,CRTM,N203,MADRID (Ciudad Lineal)-COSLADA-S.FERNANDO-VELILLA/LOECHES,https://www.crtm.es/8_N_203___.aspx
8_N_602___,CRTM,N602,MADRID (Moncloa)-COLLADO VILLALBA-GUADARRAMA,https://www.crtm.es/8_N_602___.aspx
8_N_801___,CRTM,N801,MADRID (Atocha)-GETAFE (Buenavista - Sector III),https://www.crtm.es/8_N_801___.aspx
8_N_805___,CRTM,N805,MADRID (Atocha) - GETAFE (Los Molinos),https://www.crtm.es/8_N_805___.aspx
8_N_806___,CRTM,N806,MADRID (Atocha)-PARLA,https://www.crtm.es/8_N_806___.aspx
8_N_807___,CRTM,N807,MADRID (Atocha) - GETAFE - HUMANES - GRIÑÓN,https://www.crtm.es/8_N_807___.aspx
8_N_901___,CRTM,N901,MADRID (Moncloa)-POZUELO-MAJADAHONDA-MADRID,https://www.crtm.es/8_N_901___.aspx
8_N_902___,CRTM,N902,MADRID (Moncloa)-POZUELO (Prado Somosaguas-Ciudad de la Imagen),https://www.crtm.es/8_N_902___.aspx
8_N_906___,CRTM,N906,MADRID (Moncloa)-MAJADAHONDA-POZUELO-MADRID,https://www.crtm.es/8_N_906___.aspx
8__SE71___,CRTM,SE71,AV.MONTSERRAT-EST.SAN FERNANDO,https://www.crtm.es/8__SE71___.aspx
8__SE72___,CRTM,SE72,HOSPITAL DEL HENARES-EST.COSLADA,https://www.crtm.es/8__SE72___.aspx
9__1__080_,CRTM,1,CIRCULAR (Hospital-Estación FFCC),https://www.crtm.es/9__1__080_.aspx
9__1__106_,CRTM,1,CIRCULAR 1,https://www.crtm.es/9__1__106_.aspx
9__1__038_,CRTM,1,HOSPITAL DE LA FUENFRÍA - FF.CC. - INSTITUTO,https://www.crtm.es/9__1__038_.aspx
9__1__130_,CRTM,1,POL. INDUSTRIAL-C.C. SAN FERNANDO,https://www.crtm.es/9__1__130_.aspx
9__1__115_,CRTM,1,POZUELO DE ALARCÓN-URB. LA CABAÑA,https://www.crtm.es/9__1__115_.aspx
