Academic Year,Code,Degree,University,Academic Level,Ambit
2024-2025,3500520,Quantum Information and Photonics,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4317480,Química Sostenible,Universitat Politècnica de València,Máster,Ciencias
2024-2025,3500158,Rehabilitación y Sostenibilidad en Edificación,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,3500536,Responsabilidad y Sostenibilidad Corporativa,Universitat Politècnica de València,Máster,Ciencias Sociales y Jurídicas
2024-2025,4310468,Sanidad y Producción Vegetal,Universitat Politècnica de València,Máster,Ciencias
2024-2025,4318256,Seguridad Industrial,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4318105,Seguridad Nuclear y Protección Radiológica,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,3500446,Sistemas de Aeronaves no Tripuladas y Tecnologías Asociadas,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4317434,Sistemas Inteligentes de Transporte,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4310980,Sistemas Propulsivos para una Movilidad Sostenible,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4317401,Social Media y Comunicación Corporativa,Universitat Politècnica de València,Máster,Ciencias Sociales y Jurídicas
2024-2025,4310981,Tecnología Energética para el Desarrollo Sostenible,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4310982,"Tecnologías, Sistemas y Redes de Comunicaciones",Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4310288,"Transporte, Territorio y Urbanismo",Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4317961,Erasmus Mundus en Ciencia en Ingeniería Textil / Erasmus Mundus Master in Science in Textile Engineering,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4317898,Erasmus Mundus en Mejora Genética Vegetal / Erasmus Mundus Master in Plant Breeding - emPLANT +,Universitat Politècnica de València,Máster,Ciencias
2024-2025,4317455,"Erasmus Mundus en Ondas, Acústica, Vibraciones, Ingeniería y Sonido / Erasmus Mundus Master in Waves, Acoustics, Vibrations, Engineering and Sound (WAVES)",Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4313067,Erasmus Mundus en Regeneración Urbana / Erasmus Mundus Master Course In City Regeneration,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,3500558,Erasmus Mundus en Sanidad Vegetal en Agricultura Sostenible / Erasmus Mundus Master in Plant Health in Sustainable Cropping Systems,Universitat Politècnica de València,Máster,Ciencias
2024-2025,4315941,Erasmus Mundus en Sanidad Vegetal en Agricultura Sostenible/ European Master degree in Plant Health in Sustainable Cropping Systems,Universitat Politècnica de València,Máster,Ciencias
2024-2025,4310812,"Erasmus Mundus en Viticultura, Enología y Gestión de la Empresa Vitivinícola / International Master Vintage, Vine, Wine and Terroir Management",Universitat Politècnica de València,Máster,Ciencias Sociales y Jurídicas
2024-2025,4310285,Internacional Erasmus Mundus en Materiales y Sistemas Sensores para Tecnologías Medioambientales,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
