Universidad;Campus;Centro;Denominación de la Titulación;Rama
ULE;León;Facultad de Ciencias Económicas y Empresariales;Grado en Comercio Internacional;Ciencias Sociales y Jurídicas
ULE;León;Facultad de Ciencias Económicas y Empresariales;Grado en Economía;Ciencias Sociales y Jurídicas
ULE;León;Facultad de Ciencias Económicas y Empresariales;Grado en Finanzas;Ciencias Sociales y Jurídicas
ULE;León;Facultad de Ciencias Económicas y Empresariales;Grado en Marketing e Investigación de Mercados;Ciencias Sociales y Jurídicas
ULE;León;Facultad de Ciencias Económicas y Empresariales;Grado en Turismo;Ciencias Sociales y Jurídicas
ULE;León;Facultad de Derecho;Grado en Derecho;Ciencias Sociales y Jurídicas
ULE;León;Facultad de Derecho;PCEO Grado en Derecho y Grado en Administración y Dirección de Empresas;Ciencias Sociales y Jurídicas
ULE;León;Facultad de Educación;Grado en Educación Infantil;Ciencias Sociales y Jurídicas
ULE;León;Facultad de Educación;Grado en Educación Primaria;Ciencias Sociales y Jurídicas
ULE;León;Facultad de Educación;Grado en Educación Social;Ciencias Sociales y Jurídicas
ULE;León;Facultad de Filosofía y Letras;Grado en Filología Moderna, Inglés;Artes y Humanidades
ULE;León;Facultad de Filosofía y Letras;Grado en Geografía y Ordenación del Territorio;Artes y Humanidades
ULE;León;Facultad de Filosofía y Letras;Grado en Historia;Artes y Humanidades
ULE;León;Facultad de Filosofía y Letras;Grado en Historia del Arte;Artes y Humanidades
ULE;León;Facultad de Filosofía y Letras;Grado en Información y Documentación;Ciencias Sociales y Jurídicas
ULE;León;Facultad de Filosofía y Letras;Grado en Lengua Española y su Literatura;Artes y Humanidades
ULE;León;Facultad de Filosofía y Letras;PCEO Grado en Historia y Grado en Historia del Arte;Artes y Humanidades
ULE;León;Facultad de Veterinaria;Grado en Ciencia y Tecnología de los Alimentos;Ciencias
ULE;León;Facultad de Veterinaria;Grado en Veterinaria;Ciencias de la Salud
ULE;Ponferrada;Escuela de Ingeniería Agraria y Forestal;Grado en Ingeniería Forestal y del Medio Natural;Ingeniería y Arquitectura
ULE;Ponferrada;Escuela Superior y Técnica de Ingenieros de Minas;Grado en Ingeniería en Geomática y Topografía;Ingeniería y Arquitectura
ULE;Ponferrada;Facultad de Ciencias de la Salud;Grado en Nutrición Humana y Dietética;Ciencias de la Salud
ULE;Ponferrada;Facultad de Ciencias de la Salud;Grado en Enfermería;Ciencias de la Salud
ULE;Ponferrada;Facultad de Ciencias de la Salud;Grado en Fisioterapia;Ciencias de la Salud
ULE;Ponferrada;Facultad de Ciencias de la Salud;Grado en Podología;Ciencias de la Salud
USAL;Ávila;Centro Universitario de Formación de la Policía Nacional, O.A.;Grado en Estudios Policiales;Ciencias Sociales y Jurídicas
USAL;Ávila;Escuela Politécnica Superior de Ávila;Grado en Ingeniería Civil;Ingeniería y Arquitectura
USAL;Ávila;Escuela Politécnica Superior de Ávila;Grado en Ingeniería de la Energía y Recursos Minerales;Ingeniería y Arquitectura
USAL;Ávila;Escuela Politécnica Superior de Ávila;Grado en Ingeniería en Geoinformación y Geomática;Ingeniería y Arquitectura
USAL;Ávila;Escuela Politécnica Superior de Ávila;Grado en Seguridad;Ciencias Sociales y Jurídicas
USAL;Ávila;Escuela Politécnica Superior de Ávila;PCEO Grado en Ingeniería Civil y Grado en Ingeniería de la Energía y Recursos Minerales;Ingeniería y Arquitectura
USAL;Ávila;Escuela Universitaria de Educación y Turismo;Grado en Gestión del Turismo;Ciencias Sociales y Jurídicas
USAL;Ávila;Escuela Universitaria de Educación y Turismo;Grado en Maestro en Educación Infantil;Ciencias Sociales y Jurídicas
USAL;Ávila;Escuela Universitaria de Educación y Turismo;Grado en Maestro en Educación Primaria;Ciencias Sociales y Jurídicas
USAL;Ávila;Escuela Universitaria de Educación y Turismo;PCEO Grado en Gestión de Turismo y Grado en Gestión de Pequeñas y Medianas Empresas;Ciencias Sociales y Jurídicas
USAL;Ávila;Escuela Universitaria de Educación y Turismo;PCEO Grado en Maestro en Educación Infantil y Grado en Maestro en Educación Primaria;Ciencias Sociales y Jurídicas
USAL;Ávila;Escuela Universitaria de Enfermería de Avila;Grado en Enfermería;Ciencias de la Salud
USAL;Béjar;Escuela Técnica Superior de Ingeniería Industrial;Grado en Ingeniería Eléctrica;Ingeniería y Arquitectura
