Code,Degree,DegreeID,UniversityID,AcademicLevelID,AmbitID
3500156,Prevención de Riesgos Laborales,66c05ab961ff9a45a4cb0a1b22be695d,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd
3500129,Protección Radiológica Ambiental,fb3665e4dbaef4631b0366c3fbb400d3,7ce4c67f7247673210d9b6d8aa5e7570,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd
4314958,Psicología General Sanitaria,b3babebea4da280f918ce6b96eb574a1,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,afc4b5d3b7e78e8fb66cf859c95aaefe
4314273,Química Teórica y Modelización Computacional,9a9c014b356d4d1dcef435590777c307,f9d30a624b678c838a4bb422a0bc148b,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd
3500667,Salud Global,7cd65af82120308024b03517266d512a,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,afc4b5d3b7e78e8fb66cf859c95aaefe
4310717,Salud Laboral (Prevención de Riesgos Laborales),11adcd0111a53477db21e5926b648385,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd
4316728,Sistemas Inteligentes,5cfa92d7a713a9f2eabb772df9e1acf4,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025
4313436,Tecnología Educativa: E-learning y Gestión del Conocimiento,2c0afcff85c59d37061a1a887b248378,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
3500062,Trabajo Social en el Ámbito Sanitario,3495e816fe345368edf5b68db8111a32,c73f658b0a9e2a5097a9ae889dd56474,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
3500129,Protección Radiológica Ambiental,2c6f42f1bcd6f84befc5e276e7fe69ca,3105c9fd85b6cfd224f8d1b92970ab2f,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
3500129,Protección Radiológica Ambiental,a4eee238b2022c90f996fe455f435e2e,16249b9d3890e9951fa8dcc315733ea8,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
3500129,Protección Radiológica Ambiental,3e3d158d1d7e1a1140151ef674331199,f6ce2593f6cfc9e08dc9effe2e0077e9,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
3500129,Protección Radiológica Ambiental,ab60bc2f0692a0d13857eb0cddd9391d,17a1b9e0f1c1e0719761a30d50700965,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
3500129,Protección Radiológica Ambiental,08d90d94be46180cc860af3c4ee3cc93,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
3500129,Protección Radiológica Ambiental,2f3150502c507977812bb702226fba36,c73f658b0a9e2a5097a9ae889dd56474,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4314273,Química Teórica y Modelización Computacional,76815f6acaa5a3c10648ae0984a9f896,7ce4c67f7247673210d9b6d8aa5e7570,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4314273,Química Teórica y Modelización Computacional,df2e74f07f46ab36b99801975db9d4fc,3105c9fd85b6cfd224f8d1b92970ab2f,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4314273,Química Teórica y Modelización Computacional,d7d5e40d3756c9d0339ad214c0a29961,16249b9d3890e9951fa8dcc315733ea8,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4314273,Química Teórica y Modelización Computacional,d68c2f4450216f9249467b22fb54ab88,f5636bc297db763f969bab88b5492ba3,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4314273,Química Teórica y Modelización Computacional,9a6b5d3169a82a3fd216b0efb48e1c1e,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4314273,Química Teórica y Modelización Computacional,9ee0f9e3caed9f5abffb510127db3059,51dcd00716a08519e65a732cb87c3b71,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd
4314273,Química Teórica y Modelización Computacional,d87ed38be5406eaf60a4011f80b92bbd,703d90006d377d97e3212ab3312a4e0d,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd
4314273,Química Teórica y Modelización Computacional,547623a05e8eaa5f3dfb230e3086b8d1,92c081b3e4299316155ea45962241086,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd
4314273,Química Teórica y Modelización Computacional,ec7b7db12121272196e7399eaa3c0453,15d26bf729b84e22210b99d94c66cd90,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd
4314273,Química Teórica y Modelización Computacional,d7c4d13fd1160f3858f58937f7241846,d30bbd19fa77d8470334a259e060006e,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd
4314273,Química Teórica y Modelización Computacional,59c5bcd8ad8b9de8160f03614c408b1c,92c852850da0a33857691151f42ac19a,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd
4314273,Química Teórica y Modelización Computacional,980c79201cebe45f449e9f4e22cefeb7,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd
4314273,Química Teórica y Modelización Computacional,6874fc4c51f89f787fbef86a522b0524,c73f658b0a9e2a5097a9ae889dd56474,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd
3500667,Salud Global,8e079d52c327b2d4073749a16b53e600,c6abab9cddd0b921adc603debfcca50e,eb0a191797624dd3a48fa681d3061212,afc4b5d3b7e78e8fb66cf859c95aaefe
3500667,Salud Global,23cfa9910eb7285e5780f814f3b71bab,30962703623f1f1d21c737a0c0673761,eb0a191797624dd3a48fa681d3061212,afc4b5d3b7e78e8fb66cf859c95aaefe
4313436,Tecnología Educativa: E-learning y Gestión del Conocimiento,b989335ee0626a7a629a5dcad6d92334,8841d88268e139663a8723e418715e78,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
3500062,Trabajo Social en el Ámbito Sanitario,01e30647dc35fbf17df24925bdfbab6a,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
3500062,Trabajo Social en el Ámbito Sanitario,88ae819a2f516d4fbd82de9094889080,8841d88268e139663a8723e418715e78,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
3500062,Trabajo Social en el Ámbito Sanitario,eddd0608342eff9b13aef65715edd346,f5636bc297db763f969bab88b5492ba3,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
3500062,Trabajo Social en el Ámbito Sanitario,dd6580ed954fee4923b85a01206de11a,bf0d31e1fd4ee242c0fe00c2ee08b759,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
3500062,Trabajo Social en el Ámbito Sanitario,ce9ca307ea3c03087b7e1c267ee2e37c,26e6f2790707f868f9d05141e6f2f906,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
3500062,Trabajo Social en el Ámbito Sanitario,73565c9d99bd05c08830314566d961ae,7ce4c67f7247673210d9b6d8aa5e7570,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
3500062,Trabajo Social en el Ámbito Sanitario,7669be948e0d8804611fff2f31269abe,e00161d1619c9c29b683d70c49b1341c,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
