Academic Year,Centre Code,Faculty,Faculty ID,University,University ID,Academic Level,Academic Level ID,Degree Code,Degree,Degree ID,Knowledge Area,Knowledge Area ID,nota_corte
2024-2025,30011961,Facultad de Educación,5afcf07f7c18034598dc5881a5d380e3,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4312059,Investigación Musical,57249d0f2273afd6d10958c77c04fa74,Artes y Humanidades,72ceb55b13672d5fdbac7ce07f1e85a8,5.0
2024-2025,30011961,Facultad de Educación,5afcf07f7c18034598dc5881a5d380e3,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4312098,Investigación e Innovación en Educación Infantil y Educación Primaria (Murcia),d3c3d9bd06e30499667a2a74105a2ce3,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",7.19
2024-2025,30013876,Facultad de Ciencias del Deporte,b79288486ea73b08bb75c9161366d3ce,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4313090,Investigación en Ciencias de la Actividad Física y del Deporte,ef842d06f47600a1409291162181e268,Ciencias,"cca488c1d5d31aa9a4c4356b47f75ebd",6.52
2024-2025,30008248,Facultad de Medicina,645ccb75ce30b4d9cf15a6825de02c84,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4316947,Investigación en Ciencias de la Visión,73ba15ef3471ef07dc317710a44de0a1,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",6.99
2024-2025,30009617,Facultad de Filosofía,e2efe16abfaece4347fdcf0c068b88ba,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4315278,Investigación en Filosofía,23a975d7a109d80d8a49d0cf393b16d1,Artes y Humanidades,72ceb55b13672d5fdbac7ce07f1e85a8,6.99
2024-2025,30008236,Facultad de Letras,fe7c0e584bd8d76dcb030562f0171861,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4312060,Investigación y Gestión del Patrimonio Histórico-Artístico y Cultural,d7d1b16bc45d5ec9584ba94d8f98fbcb,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",5.0
2024-2025,30011961,Facultad de Educación,5afcf07f7c18034598dc5881a5d380e3,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4314774,"Investigación, Evaluación y Calidad en Educación",1c0832fa2781c08ecd5bbe7bdd729fdc,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",7.46
2024-2025,30008236,Facultad de Letras,fe7c0e584bd8d76dcb030562f0171861,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4313337,Lingüística Teórica y Aplicada,1e3f36fce3bad1aa34571bbc7ef9dfd5,Artes y Humanidades,72ceb55b13672d5fdbac7ce07f1e85a8,6.46
2024-2025,30008236,Facultad de Letras,fe7c0e584bd8d76dcb030562f0171861,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4312062,Literatura Comparada Europea,08a9adc7e0661f074493a449a25a578b,Artes y Humanidades,72ceb55b13672d5fdbac7ce07f1e85a8,6.65
2024-2025,30014157,"Escuela de Negocios, Dirección y Administración",210293d486c74ccd7ae9239b69e80c51,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4316537,Logística y Dirección de Operaciones,92e979ec9f623efba395932cc1356b4e,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",6.0
2024-2025,30013645,Facultad de Economía y Empresa,ef2db1984f3433e9610f84c2b66e0456,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4316967,Marketing Digital y Analítico,a3ad5c8f43c68a2f394da8f02b7abe5d,Ingeniería y Arquitectura,"0957ac6a7296b4e6ef4d4e8d25691025",6.73
2024-2025,30011958,Facultad de Matemáticas,71bf39f017bb5fe70ea279509a39307f,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4315318,Matemática Avanzada,15d405e4ce19399c25f615b6f709e7e7,Ciencias,"cca488c1d5d31aa9a4c4356b47f75ebd",6.46
2024-2025,30011727,Facultad de Trabajo Social,92ececb5ef00e2cadfc2d1b763f9b723,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4312435,Mediación,9e56c8d6d99c7153b4e940dc22142dc0,Ciencias,"cca488c1d5d31aa9a4c4356b47f75ebd",6.44
2024-2025,30011405,Facultad de Veterinaria,c32208051f1829034017263f4b4d204d,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4314146,Medicina de Pequeños Animales,e4c4a681530f32d40316324a52a47383,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",5.9
2024-2025,30011715,Facultad de Informática,de53397f361c08b30696e7a678f3c031,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4312100,Nuevas Tecnologías en Informática,f93c7163b88bf1b9be9b93ba8f069764,Ingeniería y Arquitectura,"0957ac6a7296b4e6ef4d4e8d25691025",7.49
2024-2025,30011405,Facultad de Veterinaria,c32208051f1829034017263f4b4d204d,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4312083,"Nutrición, Tecnología y Seguridad Alimentaria",efaeb449af8d85664c9f52d33228fc81,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",5.74
2024-2025,30013888,Facultad de Óptica y Optometría,b682305b618d55a6d1b77c166ca933de,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4316979,Optometría Aplicada,a56849fe9eac1bbea6119883676e9518,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",6.46
2024-2025,30011387,Facultad de Ciencias del Trabajo,2f43d31867f2aad9e169b3a8d70abc4e,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4313161,Orientación e Intermediación Laboral,94c4fb2af33d9cda31d4671b65f7029a,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",7.06
