Code,Degree,University,UniversityId,Unique Identifier,Academic Level,Ambit,Academic Year
4310758,Ingeniería Mecatrónica,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ingeniería Mecatrónica,Máster,Ingeniería y Arquitectura,2023-2024
4312886,Ingeniería Química,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ingeniería Química,Máster,Ingeniería y Arquitectura,2023-2024
3500022,Ingeniería Web,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ingeniería Web,Máster,Ingeniería y Arquitectura,2023-2024
4310552,Intervención e Investigación Socioeducativa,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Intervención e Investigación Socioeducativa,Máster,Ciencias Sociales y Jurídicas,2023-2024
4315628,Investigación e Innovación en Educación Infantil y Primaria,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Investigación e Innovación en Educación Infantil y Primaria,Máster,Ciencias Sociales y Jurídicas,2023-2024
4315627,Investigación en Neurociencias,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Investigación en Neurociencias,Máster,Ciencias de la Salud,2023-2024
4313662,Lengua Española y Lingüística,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Lengua Española y Lingüística,Máster,Artes y Humanidades,2023-2024
4315352,Náutica y Gestión del Transporte Marítimo,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Náutica y Gestión del Transporte Marítimo,Máster,Ingeniería y Arquitectura,2023-2024
4311190,Ortodoncia y Ortopedia Dentofacial,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ortodoncia y Ortopedia Dentofacial,Máster,Ciencias de la Salud,2023-2024
4312032,Prevención de Riesgos Laborales,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Prevención de Riesgos Laborales,Máster,Ingeniería y Arquitectura,2023-2024
4312890,Protección Jurídica de las Personas y los Grupos Vulnerables,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Protección Jurídica de las Personas y los Grupos Vulnerables,Máster,Ciencias Sociales y Jurídicas,2023-2024
4314934,Psicología General Sanitaria,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Psicología General Sanitaria,Máster,Ciencias de la Salud,2023-2024
4312891,Química y Desarrollo Sostenible,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Química y Desarrollo Sostenible,Máster,Ciencias,2023-2024
4312892,Recursos Geológicos e Ingeniería Geológica,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Recursos Geológicos e Ingeniería Geológica,Máster,Ciencias,2023-2024
4315569,Sistemas de Información y Análisis Contable,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Sistemas de Información y Análisis Contable,Máster,Ciencias Sociales y Jurídicas,2023-2024
4315346,Tecnologías Marinas y Mantenimiento,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Tecnologías Marinas y Mantenimiento,Máster,Ingeniería y Arquitectura,2023-2024
