Code,Degree,DegreeId,UniversityId,Academic Level Id,AmbitId,Academic Year
2500954,Química,6340726a7930395ae8e8c93b2b65fc01,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,cca488c1d5d31aa9a4c4356b47f75ebd,2023-2024
2501391,Relaciones Laborales y Recursos Humanos,907ca0a9d381d6570b2438b9eee0b3a0,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
2502037,Terapia Ocupacional,c1615430574539163d5e470b72365cab,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe,2023-2024
2502038,Trabajo Social,71894fd38da7316ed5cffdc756a491fb,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
2502039,Turismo,38332deaa6dfe0f2a76c5886414981bd,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
4313660,Abogacía y Procura,f3732c84ca70c7fa5c675586ebe70bdd,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
4312951,Administración y Dirección de Empresas,101dfa0a8f54b108a5f329181195650e,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
4315881,Análisis de Datos para la Inteligencia de Negocios,34f0d9f7405f89e6f361a0d6c368b6f9,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
4312932,Análisis y Gestión de Emergencia y Desastre,7c01e23290eb35704f4f813da43263da,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,afc4b5d3b7e78e8fb66cf859c95aaefe,2023-2024
4312876,Biología y Tecnología de la Reproducción,12e9ec4b6244ab1e05c660e5504aeeaa,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,afc4b5d3b7e78e8fb66cf859c95aaefe,2023-2024
4312877,Biomedicina y Oncología Molecular,b79e4da773b03af161b4f38f3f59cc35,094757ed9d7e9bb8929a087e18874962,eb0a191797624dd3a48fa681d3061212,afc4b5d3b7e78e8fb66cf859c95aaefe,2023-2024
