Date,Year,Month,Day,DOW,Public holiday,Adelaide,Brisbane,Canberra,Darwin,Hobart,Melbourne,Perth,Sydney,Number,National_holiday
4/25/2019,2019,4,25,Thursday,ANZAC Day,1,1,1,1,1,1,1,1,8,TRUE
5/6/2019,2019,5,6,Monday,Labour Day & May Day,,1,,1,,,,,2,FALSE
5/27/2019,2019,5,27,Monday,Reconciliation Day,,,1,,,,,,1,FALSE
6/3/2019,2019,6,3,Monday,Western Australia Day,,,,,,,1,,1,FALSE
6/10/2019,2019,6,10,Monday,Queen's Birthday,1,,1,1,1,1,,1,6,FALSE
8/5/2019,2019,8,5,Monday,Picnic Day,,,,1,,,,,1,FALSE
8/15/2019,2019,8,15,Thursday,Royal Queensland Show,,1,,,,,,,1,FALSE
9/27/2019,2019,9,27,Friday,AFL Grand Final Eve,,,,,,1,,,1,FALSE
9/30/2019,2019,9,30,Monday,Queen's Birthday,,,,,,,1,,1,FALSE
10/7/2019,2019,10,7,Monday,Queen's Birthday & Labour Day,1,1,1,,,,,1,4,FALSE
10/24/2019,2019,10,24,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE
11/5/2019,2019,11,5,Tuesday,Melbourne Cup,,,,,,1,,,1,FALSE
12/25/2019,2019,12,25,Wednesday,Christmas Day,1,1,1,1,1,1,1,1,8,TRUE
12/26/2019,2019,12,26,Thursday,Boxing Day & Proclamation Day,1,1,1,1,1,1,1,1,8,TRUE
1/1/2020,2020,1,1,Wednesday,New Year's Day,1,1,1,1,1,1,1,1,8,TRUE
1/27/2020,2020,1,27,Monday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE
2/10/2020,2020,2,10,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE
3/2/2020,2020,3,2,Monday,Labour Day,,,,,,,1,,1,FALSE
3/9/2020,2020,3,9,Monday,"Adelaide Cup, Canberra Day, Eight Hours Day & Labour Day",1,,1,,1,1,,,4,FALSE
4/10/2020,2020,4,10,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE
4/11/2020,2020,4,11,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE
4/12/2020,2020,4,12,Sunday,Easter Sunday,,1,1,,,1,,1,4,FALSE
4/13/2020,2020,4,13,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE
4/25/2020,2020,4,25,Saturday,ANZAC Day,1,1,1,1,1,1,1,1,8,TRUE
4/27/2020,2020,4,27,Monday,ANZAC Day Observance,,,1,,,,1,,2,FALSE
5/4/2020,2020,5,4,Monday,Labour Day & May Day,,1,,1,,,,,2,FALSE
6/1/2020,2020,6,1,Monday,Reconciliation Day,,,1,,,,,,1,FALSE
6/1/2020,2020,6,1,Monday,Western Australia Day,,,,,,,1,,1,FALSE
6/8/2020,2020,6,8,Monday,Queen's Birthday,1,,1,1,1,1,,1,6,FALSE
8/3/2020,2020,8,3,Monday,Picnic Day,,,,1,,,,,1,FALSE
8/14/2020,2020,8,14,Friday,Royal Queensland Show,,1,,,,,,,1,FALSE
9/28/2020,2020,9,28,Monday,Queen's Birthday,,,,,,,1,,1,FALSE
10/5/2020,2020,10,5,Monday,Queen's Birthday & Labour Day,1,1,1,,,,,1,4,FALSE
10/22/2020,2020,10,22,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE
