Location_ID;Sensor_Description;Sensor_Name;Installation_Date;Note;Location_Type;Status;Direction_1;Direction_2;Latitude;Longitude;Street;House_Number;Postcode;City;Country;Address
54;Lincoln-Swanston (West);Swa607_T;26/06/2018;;Outdoor;A;North;South;-37.804.024;14.496.308.399;Swanston Street;613;3053;Carlton;Australia;613 Swanston Street, Carlton VIC 3053, Australia
56;Lonsdale St - Elizabeth St (North);Lon364_T;25/07/2018;Sensor device has been replaced;Outdoor;A;East;West;-3.781.234.775;14.496.153.311;Lonsdale Street;368;3000;Melbourne;Australia;368 Lonsdale Street, Melbourne VIC 3000, Australia
68;Flinders Ln -Degraves St (North);FLDegN_T;03/06/2020;;Outdoor;A;East;West;-378.168.479;14.496.559.789;Flinders Lane;258;3000;Melbourne;Australia;EzyMart, 258 Flinders Lane, Melbourne VIC 3000, Australia
69;Flinders Ln -Degraves St (Crossing);FLDegC_T;03/06/2020;;Outdoor;A;North;South;-3.781.687.226;14.496.559.144;Flinders Lane;258;3000;Melbourne;Australia;EzyMart, 258 Flinders Lane, Melbourne VIC 3000, Australia
72;Flinders St- ACMI;ACMI_T;30/11/2020;;Outdoor;A;East;West;-3.781.726.338;14.496.872.809;Flinders Street;169;3004;Melbourne;Australia;169 Flinders Street, Melbourne VIC 3004, Australia
85;Macaulay Rd (North);488Mac_T;21/12/2021;;Outdoor;A;East;West;-3.779.432.415;14.492.973.378;Macaulay Road;488;3031;Melbourne;Australia;Edward Thomas, 488 Macaulay Road, Kensington VIC 3031, Australia
86;Queensberry St - Errol St (South);574Qub_T;21/12/2021;;Outdoor;A;East;West;-3.780.309.992;14.494.908.064;Queensberry Street;547-553;3051;Melbourne;Australia;547-553 Queensberry Street, North Melbourne VIC 3051, Australia
107;Flagstaff station (East);280Will_T;08/10/2022;;Outdoor;A;North;South;-3.781.246.271;14.495.690.188;William Street;288;3000;Melbourne;Australia;288 William Street, Melbourne VIC 3000, Australia
117;114 Flinders Street Car Park Footpath;Fli114F_T;06/12/2022;;Outdoor;A;East;West;-3.781.629.332;14.497.090.877;Flinders Street;114;3000;Melbourne;Australia;114 Flinders Street, Melbourne VIC 3000, Australia
123;Birrarung Marr East - Batman Ave Bridge Entry;BirBridge_T_1;02/06/2023;;Outdoor;A;East;West;-3.781.753.741;14.497.329.734;Batman Avenue;;3000;Melbourne;Australia;Batman Avenue Bridge, Batman Avenue, Melbourne VIC 3000, Australia
132;I-Hub Corner of King Street and Latrobe Street (317-335 King);King335_T;25/09/2023;;Outdoor;A;North;South;-3.781.267.639;14.495.386.444;King Street;333;3000;Melbourne;Australia;333 King Street, Melbourne VIC 3000, Australia
133;I-Hub Southern Cross Station - Lonsdale Street Entrance - South;Spen229_T;25/09/2023;;Outdoor;A;North;South;-3.781.531.435;14.495.227.769;Spencer Street;227;3008;Docklands;Australia;227 Spencer Street, Docklands VIC 3008, Australia
136;COM Pole 1120 - Towards the City, Near Federation Square Bridge;BirFed1120_T;03/11/2023;;Outdoor;A;East;West;-378.184.141;14.497.357.915;Birrarung Marr;;3004;Melbourne;Australia;Birrarung Marr, Melbourne VIC 3004, Australia
139;COM Pole 1647 - Sandridge Bridge Signal Box;Signal1647_T;20/11/2023;;Outdoor;A;East;West;-3.781.959.923;1.449.632.832;Banana Alley Wharf;3;3000;Melbourne;Australia;3 Banana Alley Wharf, Melbourne VIC 3000, Australia
140;COM Pole 2837 - Boyd Park;Boyd2837_T;02/11/2023;;Outdoor;A;North;South;-3.782.590.962;14.496.185.972;Balston Street;26;3006;Southbank;Australia;26 Balston Street, Southbank VIC 3006, Australia
142;COM Pole 1584 - Hammer Hall Entrance;Hammer1584_T;03/11/2023;;Outdoor;A;East;West;-3.781.970.749;14.496.795.734;St Kilda Road;100;3000;Melbourne;Australia;Trocadero, 100 St Kilda Road, Southbank VIC 3000, Australia
161;Birrarung Marr - COM - Pole 1109;BirArt1109_T;04/06/2024;;Outdoor;A;East;West;-3.781.851.276;14.497.131.336;Birrarung Marr Walk;;3000;Melbourne;Australia;Birrarung Marr Walk, Melbourne VIC 3000, Australia
165;475 Spencer Street;Spen475_T;14/08/2024;;Outdoor;A;North;South;-3.780.953.359;14.494.939.004;Spencer Street;473;3003;West Melbourne;Australia;473 Spencer Street, West Melbourne VIC 3003, Australia
181;368 Elizabeth Street;Eli368_T;26/03/2025;Moved from 380 Elizabeth Street;Outdoor;A;North;South;-3.781.009.465;14.496.143.149;Elizabeth Street;370;3000;Melbourne;Australia;370 Elizabeth Street, Melbourne VIC 3000, Australia
