Address,Address-Wikidata,Address-Wiki-URI,DockBikes,FreeBases,Name,Name-Wikidata,Name-URI-Wikidata,number,TotalBases,POINT_X,POINT_Y
Calle Maria Sevilla Diago,"Calle de María Sevilla Diago, Madrid",https://www.wikidata.org/entity/Q28972080,3,21,María Sevilla Diago,María Sevilla Diago,,514,24,"-3,610951","40,43283"
Avenida de Hellin,Avenida de Hellin,,9,15,"Avenida de Hellin, 13","Avenida de Hellin, 13",,515,24,"-3,6158","40,430917"
Calle de El Toboso,Calle de El Toboso,,11,12,El Toboso - Zaida,El Toboso - Zaida,,359,23,"-3,73634","40,39299"
Avenida Nuestra Señora de Fatima,Avenida Nuestra Señora de Fatima,,7,16,Ntra. Sra. Fátima - Ntra. Sra. de Luz,Ntra. Sra. Fátima - Ntra. Sra. de Luz,,360,23,"-3,747088","40,384015"
Avenida de Abrantes,Avenida de Abrantes,,16,7,Metro Pan Bendito,Metro Pan Bendito,,361,23,"-3,732667","40,377347"
Avenida Santa Eugenia,Avenida Santa Eugenia,,14,10,Estación de tren de Santa Eugenia,Estación de tren de Santa Eugenia,,441,24,"-3,609482","40,386008"
Avenida de Santa Eugenia con Calle sauzal,Avenida de Santa Eugenia con Calle sauzal,,10,17,Santa Eugenia - Zazuar,Santa Eugenia - Zazuar,,442,27,"-3,60463","40,383059"
Calle Fuentespina,Calle Fuentespina,,10,14,"Fuentespina, 33","Fuentespina, 33",,443,24,"-3,607248","40,379415"
Calle Hilario Herránz Establos,Calle Hilario Herránz Establos,,18,9,"Hilario Herranz Establos, 36","Hilario Herranz Establos, 36",,362,27,"-3,726638","40,372839"
Calle Rioja,Calle Rioja,,8,16,Metro Alameda de Osuna,Metro Alameda de Osuna,,557,24,"-3,588151","40,457467"
Calle Francisco Suárez,Calle Francisco Suárez,,8,15,Francisco Suárez - Paseo de La Habana,Francisco Suárez - Paseo de La Habana,,290,23,"-3,679944","40,464378"
Calle López de Hoyos,calle de López de Hoyos,https://www.wikidata.org/entity/Q27043844,12,11,"Lopez de Hoyos , 478","Lopez de Hoyos , 478",,529,23,"-3,649843","40,47175"
Calle de los Emigrantes,Calle de los Emigrantes,,21,6,Metro Mar de Cristal,Metro Mar de Cristal,,530,27,"-3,637883","40,468575"
Calle de Santa Virgilia,Calle de Santa Virgilia,,0,23,Metro Parque de Santa María,Metro Parque de Santa María,,531,23,"-3,645074","40,476878"
Avenida de San Luis,Avenida de San Luis,,3,20,"San Luis, 23","San Luis, 23",,533,23,"-3,655115","40,471487"
Calle Serrano nº 32,Calle Serrano nº 32,,13,6,Plaza de Colón A,plaza de Colón,,106A,19,"-3,687807","40,424924"
Calle de la Isla Graciosa,Calle de la Isla Graciosa,,8,16,Isla Graciosa - Isla de Java,Isla Graciosa - Isla de Java,,582,24,"-3,686266","40,492622"
Calle de Angel Mugica,Calle de Angel Mugica,,19,5,Ángel Múgica - Marcos de Orueta,Ángel Múgica - Marcos de Orueta,,583,24,"-3,68529","40,484683"
Avenida Monasterio de Silos,Avenida Monasterio de Silos,,1,23,Metro Montecarmelo,Metro Montecarmelo,,584,24,"-3,696033","40,50501"
Calle Molins de Rey,Calle Molins de Rey,,3,21,Metro Fuencarral,Metro Fuencarral,,585,24,"-3,693748","40,495466"
Calle Caldas de Estrach,Calle Caldas de Estrach,,2,21,Caldas Estrach - San Cugat del Vallés,Caldas Estrach - San Cugat del Vallés,,586,23,"-3,697472","40,496392"
Calle Mesena,Calle Mesena,,5,19,"Mesena, 102","Mesena, 102",,534,24,"-3,663406","40,467724"
Calle de las Delicias,Delicias street,https://www.wikidata.org/entity/Q131379287,7,12,Delicias - General Lacy,Delicias - General Lacy,,273,19,"-3,690918","40,403819"
Calle Costa Brava,Calle Costa Brava,,26,1,Metro Paco de Lucía,Metro Paco de Lucía,,587,27,"-3,708657","40,498924"
Av. del Campo de Calatrava,Av. del Campo de Calatrava,,2,25,Campo Calatrava - Rda Ingenioso Hidalgo,Campo Calatrava - Rda Ingenioso Hidalgo,,588,27,"-3,691123","40,500522"
Avenida Monasterio de Silos,Avenida Monasterio de Silos,,24,0,Monast. Silos - Monast. Montesclaros,Monast. Silos - Monast. Montesclaros,,589,24,"-3,702903","40,503405"
Calle Ramón Power,Calle Ramón Power,,1,26,Metro Canillas,Metro Canillas,,535,27,"-3,634999","40,463575"
