FID,OBJECTID,SHAPE,ADDRESS,BEZIRK,CITY,COUNTRYCODE,DESIGNATION,DIRECTPAYMENT,EVSEID,OPERATORNAME
ELADESTELLEOGD.1719736,1719736,POINT (16.324559005330098 48.16642106586223),"12., Oswaldgasse  35A",12,Wien,AT,Oswaldgasse 35A,0,AT*VIE*E1120580006,Wien Energ
ELADESTELLEOGD.1719737,1719737,POINT (16.334622005017955 48.17826406585197),"12., Rauchgasse  15-17/7",12,Wien,AT,Rauchgasse 15-17/7,0,AT*VIE*E1120580007,Wien Energ
ELADESTELLEOGD.1719738,1719738,POINT (16.32292300487878 48.18109806580172),"12., Rotenmühlgasse  30/1",12,Wien,AT,Rotenmühlgasse 30/1,0,AT*VIE*E1120580009,Wien Energ
ELADESTELLEOGD.1719739,1719739,POINT (16.326017005433044 48.18331306641975),"12., Schönbrunner Schloßstrasse 2-12",12,Wien,AT,Schönbrunner Schloß Str.,0,AT*VIE*E1120650007,Wien Energ
ELADESTELLEOGD.1719740,1719740,POINT (16.319293006068417 48.16086806651819),"12., Sagedergasse 13",12,Wien,AT,Spar Sagedergasse,0,AT*VIE*E1120770003,Wien Energ
ELADESTELLEOGD.1719741,1719741,POINT (16.330438005075923 48.1699970658755),"12., Lehrbachgasse 18",12,Wien,AT,BOE Innoplaza,0,AT*VIE*E5161,Wien Energ
ELADESTELLEOGD.1719742,1719742,POINT (16.296790004804308 48.1588400663216),"12., Wildgartenallee 27",12,Wien,AT,Wildgartenallee 27 - 1,0,AT*VIE*E5252,Wien Energ
ELADESTELLEOGD.1719743,1719743,POINT (16.296790005817815 48.15880006593142),"12., Wildgartenallee 27",12,Wien,AT,Wildgartenallee 27 - 2,0,AT*VIE*E5253,Wien Energ
ELADESTELLEOGD.1719744,1719744,POINT (16.33339100481871 48.17120806621953),"12., Am Europlatz 2",12,Wien,AT,Am Europlatz,0,AT*VNA*E1120570001,Wien Energ
ELADESTELLEOGD.1719745,1719745,POINT (16.33339000542911 48.17507306645161),"12., Eichenstraße 66",12,Wien,AT,Eichenstraße 66,0,AT*VNA*E1120570002,Wien Energ
ELADESTELLEOGD.1719746,1719746,POINT (16.332932005424166 48.181287065865284),"12., Niederhofstraße vor 18",12,Wien,AT,Niederhofstraße,0,AT*VNA*E1120570003,Wien Energ
ELADESTELLEOGD.1719747,1719747,POINT (16.316323005441262 48.16593106647566),"12., Altmannsdorfer Straße vor 76a/11",12,Wien,AT,Bahnhof Hetzendorf,0,AT*VNA*E1120570004,Wien Energ
ELADESTELLEOGD.1719748,1719748,POINT (16.327602005026215 48.183033065729774),"12., Schönbrunner Straße 269",12,Wien,AT,Schönbrunner Straße 269,0,AT*VNA*E1120570005,Wien Energ
ELADESTELLEOGD.1719749,1719749,POINT (16.325588004763077 48.178467065691216),"12., Pohlgasse 19",12,Wien,AT,Pohlgasse,0,AT*VNA*E1120570006,Wien Energ
ELADESTELLEOGD.1719750,1719750,POINT (16.304695005899838 48.167522066541316),"12., Hervicusgasse 1",12,Wien,AT,Hervicusgasse 1,0,AT*VNA*E1120570007,Wien Energ
ELADESTELLEOGD.1719751,1719751,POINT (16.315532005796793 48.17670106589758),"12., Hohenbergstraße 58",12,Wien,AT,Hohenbergstraße,0,AT*VNA*E1120570008,Wien Energ
ELADESTELLEOGD.1719752,1719752,POINT (16.34062400565291 48.18507206609009),"12., Steinhagegasse 20/1",12,Wien,AT,Steinhagegasse,0,AT*VNA*E1120570009,Wien Energ
ELADESTELLEOGD.1719753,1719753,POINT (16.341610004842412 48.18005006630979),"12., Flurschützstraße 28",12,Wien,AT,Flurschützstraße,0,AT*VNA*E1120570010,Wien Energ
ELADESTELLEOGD.1719754,1719754,POINT (16.34428000545534 48.18329606634665),"12., Siebertgasse 22",12,Wien,AT,Siebertgasse,0,AT*VNA*E1120570011,Wien Energ
ELADESTELLEOGD.1719755,1719755,POINT (16.323569004988105 48.16177206625356),"12., Hetzendorfer Straße 1A",12,Wien,AT,Hetzendorfer Straße,0,AT*VNA*E1120570012,Wien Energ
ELADESTELLEOGD.1719756,1719756,POINT (16.341857005644027 48.170552065834244),"12., Wienerbergstraße 8A",12,Wien,AT,Wienerbergstraße,0,AT*VNA*E1120570013,Wien Energ
ELADESTELLEOGD.1719757,1719757,POINT (16.26917500504301 48.187808065934675),"13., Hietzinger Hauptstraße 139",13,Wien,AT,Hietzinger Hauptstraße 139,0,AT*VIE*E1130580002,Wien Energ
ELADESTELLEOGD.1719758,1719758,POINT (16.287066004869853 48.174712065816344),"13., Hofwiesengasse 1/1",13,Wien,AT,Hofwiesengasse 1/1,0,AT*VIE*E1130580003,Wien Energ
ELADESTELLEOGD.1719759,1719759,POINT (16.29845600545445 48.18464806574488),"13., Trauttmansdorffgasse 16",13,Wien,AT,Trauttmansdorffgasse 16,0,AT*VIE*E1130580004,Wien Energ
ELADESTELLEOGD.1719760,1719760,POINT (16.263227005852546 48.18120006589865),"13., Veitingergasse 145",13,Wien,AT,Veitingergasse 145,0,AT*VIE*E1130580005,Wien Energ
ELADESTELLEOGD.1719424,1719424,POINT (16.34902500517748 48.00037706630976),2521 Dr. Körner-Straße 64,,Trumau,AT,Trumau Sportplatz,0,AT*VIE*E5120,Wien Energ
ELADESTELLEOGD.1719425,1719425,POINT (16.081109004613126 48.058176065785446),2534 Mayerlingerstraße 4,,Alland,AT,Spar Alland,0,AT*VIE*E5203,Wien Energ
ELADESTELLEOGD.1719426,1719426,POINT (16.22592800475256 47.972597066022054),2540 Quellenstraße  1,,Bad Vöslau,AT,Vöslauer AG Paitzriegelgasse,0,AT*VIE*E5106,Wien Energ
ELADESTELLEOGD.1719427,1719427,POINT (16.22288800576125 47.96806006654279),2540 Kudernagasse 2,,Bad Vöslau,AT,ÖBB P&R Bad Vöslau,0,AT*VIE*E5126,Wien Energ
ELADESTELLEOGD.1719428,1719428,POINT (16.21301900574941 47.96723106584281),2540 Badplatz 1,,Bad Vöslau,AT,Bad Vöslau Badplatz,0,AT*VIE*E5199,Wien Energ
ELADESTELLEOGD.1719429,1719429,POINT (16.200294005189605 47.93211406627166),2544 Portugieserstrasse 1,,Leobersdorf,AT,Blumen B&B,0,AT*VIE*E2544770004,Wien Energ
ELADESTELLEOGD.1719430,1719430,POINT (16.201350005346683 47.93207106625826),2544 Portugieser Straße 2B,,Leobersdorf,AT,Burger King Leobersdorf,0,AT*VIE*E7318,Wien Energ
ELADESTELLEOGD.1719431,1719431,POINT (16.185478005515822 47.92078706639576),2551 Rathausplatz 1,,Enzesfeld-Lindabrunn,AT,Enzesfeld-Lindabrunn Rathausplatz,0,AT*VIE*E5243,Wien Energ
ELADESTELLEOGD.1719432,1719432,POINT (16.247700005879825 47.88740006630136),2603 Mühlstraße 1,,Felixdorf,AT,ÖBB P&R Felixdorf,0,AT*VIE*E5100,Wien Energ
ELADESTELLEOGD.1719433,1719433,POINT (16.15366700563027 48.22901706656453),3003 Linzerstraße 93,,Gablitz,AT,Marktgemeinde Gablitz Linzerstraße,0,AT*VIE*E5150,Wien Energ
ELADESTELLEOGD.1719434,1719434,POINT (16.311884005867828 48.29143706637302),3400 Feldergasse 4-6,,Weidling,AT,Felderg.4-6,0,AT*VIE*E3400650003,Wien Energ
ELADESTELLEOGD.1719435,1719435,POINT (16.327937004769325 48.3100010659229),3400 in der Au 2,,Klosterneuburg,AT,In der Au P&R,0,AT*VIE*E3400650004,Wien Energ
ELADESTELLEOGD.1719436,1719436,POINT (16.326528004823775 48.303676065906984),3400 Pater Abel-Straße 1,,Klosterneuburg,AT,Pater Abel-Straße,0,AT*VIE*E5130,Wien Energ
ELADESTELLEOGD.1719437,1719437,POINT (16.3281650050519 48.294765065910475),3400 Anton-Bruckner-G. 2-4,,Klosterneuburg,AT,3400 Anton-Bruckner-G.2-4,0,AT*VIE*E5274,Wien Energ
ELADESTELLEOGD.1719438,1719438,POINT (16.32400400603288 48.310022066352644),3400 Stadtplatz 16,,Klosterneuburg,AT,Stadtplatz16,0,AT*VIE*E5275,Wien Energ
ELADESTELLEOGD.1719439,1719439,POINT (16.300690005483453 48.33061506579452),3420 Hauptstr. 56-58,,Kritzendorf,AT,3420_Hauptstr.56-58,0,AT*VIE*E5276,Wien Energ
ELADESTELLEOGD.1719440,1719440,POINT (14.45444600407413 47.30408606569498),8764 Pusterwald  92a,,Pusterwald,AT,KW Pusterwald,0,AT*VIE*E8764770001,Wien Energ
ELADESTELLEOGD.1719441,1719441,POINT (16.37703100601091 48.20226706650585),"01., Beethovenplatz 3",1,Wien,AT,öff. Wipark - Beethovenplatz,0,AT*VIE*E1010650003,Wien Energ
ELADESTELLEOGD.1719442,1719442,POINT (16.364404004958438 48.211837065776706),"01., Freyung 5",1,Wien,AT,öff. Wipark - Freyung 1.UG,0,AT*VIE*E1010650008,Wien Energ
ELADESTELLEOGD.1719443,1719443,POINT (16.36497300610696 48.20263006624536),"01., Elisabethstraße 16",1,Wien,AT,öff. BIP Robert-Stolz-Platz,0,AT*VIE*E1010650018,Wien Energ
ELADESTELLEOGD.1719444,1719444,POINT (16.36992500608074 48.20301006616695),"01., Kärnter Straße 51",1,Wien,AT,öff. BIP Kärntner Straße,0,AT*VIE*E1010650019,Wien Energ
ELADESTELLEOGD.1719445,1719445,POINT (16.379382004975266 48.20997606592381),"01., Georg-Coch-Platz 1",1,Wien,AT,öff. BIP Georg Cochplatz,0,AT*VIE*E1010650020,Wien Energ
ELADESTELLEOGD.1719446,1719446,POINT (16.378391004985236 48.20645406624498),"01., Cobdengasse 2",1,Wien,AT,BOE Garage Cobdengasse,0,AT*VIE*E5116,Wien Energ
ELADESTELLEOGD.1719447,1719447,POINT (16.376632006008197 48.20567206588063),"01., Hegelgasse 1",1,Wien,AT,öff. Wipark - Weihburggasse,0,AT*VIE*E5132,Wien Energ
ELADESTELLEOGD.1719448,1719448,POINT (16.37344500586487 48.20222806587673),"01., Mahlerstraße 12",1,Wien,AT,BIP Garage Palais Corso Station 1,0,AT*VIE*E5205,Wien Energ
ELADESTELLEOGD.1719449,1719449,POINT (16.37344500586487 48.20222806587673),"01., Mahlerstraße 12",1,Wien,AT,BIP Garage Palais Corso Station 2,0,AT*VIE*E5206,Wien Energ
ELADESTELLEOGD.1719450,1719450,POINT (16.355558005092114 48.208870066432475),"01., Rathausstraße 1",1,Wien,AT,BUWOG Rathausgarage Wien Box 1,0,AT*VIE*E5222,Wien Energ
ELADESTELLEOGD.1719451,1719451,POINT (16.355558005092114 48.208870066432475),"01., Rathausstraße 1",1,Wien,AT,BUWOG Rathausgarage Wien Box 4,0,AT*VIE*E5225,Wien Energ
ELADESTELLEOGD.1719452,1719452,POINT (16.36154400536831 48.20947306625369),"01., Josef-Meinrad-Platz 1",1,Wien,AT,Burgtheater,0,AT*VNA*E1010570001,Wien Energ
ELADESTELLEOGD.1719453,1719453,POINT (16.36959900553763 48.20194406638935),"01., Kärntner Straße 57",1,Wien,AT,Wien Oper,0,AT*VNA*E1010570002,Wien Energ
ELADESTELLEOGD.1719454,1719454,POINT (16.374367005334737 48.21306806644601),"01., Morzinplatz vor 4",1,Wien,AT,Morzinplatz,0,AT*VNA*E1010570003,Wien Energ
ELADESTELLEOGD.1719455,1719455,POINT (16.36670800551703 48.21567606651641),"01., Schottenring vor 16",1,Wien,AT,Börse,0,AT*VNA*E1010570004,Wien Energ
ELADESTELLEOGD.1719456,1719456,POINT (16.380794004936384 48.20796406585747),"01., Stubenring vor 22",1,Wien,AT,Stubentor,0,AT*VNA*E1010570005,Wien Energ
ELADESTELLEOGD.1719457,1719457,POINT (16.358695005888904 48.20619106593586),"01., Hansenstraße 4-6",1,Wien,AT,Hansenstraße,0,AT*VNA*E1010570006,Wien Energ
ELADESTELLEOGD.1719458,1719458,POINT (16.377437005588533 48.202951065952924),"01., Johannesgasse 33",1,Wien,AT,Johannesgasse,0,AT*VNA*E1010570009,Wien Energ
ELADESTELLEOGD.1719459,1719459,POINT (16.374461005561702 48.20189606582178),"01., Schubertring 14",1,Wien,AT,Schubertring,0,AT*VNA*E1010570010,Wien Energ
ELADESTELLEOGD.1719460,1719460,POINT (16.3686190049773 48.217004065745144),"01., Schottenring 27",1,Wien,AT,Schottenring,0,AT*VNA*E1010570011,Wien Energ
