stationId,addressType,addressName,addressNumber,latitude,longitude,altitude,districtId,districtName,neighborhoodId,neighborhoodName,postCode,capacity
c96dc807,CARRER,SANCHO DE ÁVILA,104,41.40037,2.19241,4,10,Sant Martí,66,El Parc I La Llacuna Del Poblenou,8018,52
d84e9b91,CARRER,SANCHO DE ÁVILA,170,41.40279,2.19561,4,10,Sant Martí,68,El Poblenou,8018,28
a4845920,CARRER,CASTELLA,28,41.40562,2.19771,4,10,Sant Martí,68,El Poblenou,8018,27
af353f89,CARRER,PERE IV,301,41.40934,2.20244,4,10,Sant Martí,71,Provençals Del Poblenou,8020,27
bb854058,CARRER,PERE IV,488,41.41489,2.20718,4,10,Sant Martí,71,Provençals Del Poblenou,8019,24
19ecf1b3,RAMBLA,PRIM,79,41.41604,2.21249,5,10,Sant Martí,70,El Besòs I El Maresme,8019,33
c743b830,,RONDA DE SANT PAU,79,41.37834,2.16331,12,2,Eixample,10,Sant Antoni,8015,27
7e6a316b,CARRER,PUJADES,57,41.39586,2.19295,4,10,Sant Martí,66,El Parc I La Llacuna Del Poblenou,8019,26
c3c45841,CARRER,ESPRONCEDA,124,41.40659,2.20302,4,10,Sant Martí,68,El Poblenou,8005,27
6963b90a,CARRER,PALLARS,182,41.40034,2.19691,3,10,Sant Martí,68,El Poblenou,8005,31
e94d3b05,CARRER,PUJADES,121,41.39933,2.19741,3,10,Sant Martí,68,El Poblenou,8005,39
c51d6dbf,CARRER,PUJADES,173,41.40186,2.20077,3,10,Sant Martí,68,El Poblenou,8005,23
583829d8,CARRER,PUJADES,191,41.40262,2.20176,2,10,Sant Martí,68,El Poblenou,8005,32
2b4d593e,CARRER,PUJADES,311,41.40701,2.20744,4,10,Sant Martí,69,Diagonal Mar I El Front Marítim Del Poblenou,8019,32
1f51f570,CARRER,SELVA DE MAR,46,41.40913,2.20881,4,10,Sant Martí,69,Diagonal Mar I El Front Marítim Del Poblenou,8019,27
68bbb7d5,CARRER,LLULL,465,41.41323,2.21776,4,10,Sant Martí,70,El Besòs I El Maresme,8019,33
696db06a,RAMBLA,DE PRIM,19,41.41166,2.21833,4,10,Sant Martí,70,El Besòs I El Maresme,8019,31
807b20ca,AVINGUDA,DIAGONAL,26,41.41108,2.21631,4,10,Sant Martí,70,El Besòs I El Maresme,8019,36
9690e588,AVINGUDA,D'EDUARD MARISTANY,1,41.41097,2.21937,4,10,Sant Martí,70,El Besòs I El Maresme,8019,33
f38c7c53,CARRER,RAMON TURRÓ,91,41.39530,2.19659,4,10,Sant Martí,67,La Vila Olímpica Del Poblenou,8005,27
f4953768,CARRER,RAMON TURRÓ,292,41.40385,2.20842,3,10,Sant Martí,69,Diagonal Mar I El Front Marítim Del Poblenou,8005,27
14db8335,AVINGUDA,ICÀRIA,202,41.39421,2.20087,3,10,Sant Martí,67,La Vila Olímpica Del Poblenou,8005,27
fbc87a4d,CARRER,INDEPENDÈNCIA,379,41.41183,2.17788,46,10,Sant Martí,64,El Camp De L'arpa Del Clot,8026,27
80e47065,CARRER,DEL DOCTOR TRUETA,222,41.39921,2.20414,3,10,Sant Martí,68,El Poblenou,8005,27
d9c599a5,CARRER,BILBAO,2,41.40083,2.20664,3,10,Sant Martí,68,El Poblenou,8005,27
c4f1ceef,CARRER,BAC DE RODA,11,41.40233,2.21057,3,10,Sant Martí,68,El Poblenou,8005,21
53192d6d,,SELVA DE MAR,,41.40536,2.21358,5,10,Sant Martí,69,Diagonal Mar I El Front Marítim Del Poblenou,8019,27
725dc405,AVINGUDA,LITORAL,40,41.38966,2.19995,6,10,Sant Martí,67,La Vila Olímpica Del Poblenou,8005,54
592be830,AVINGUDA,LITORAL,172,41.39198,2.20371,5,10,Sant Martí,67,La Vila Olímpica Del Poblenou,8005,54
02ce0817,,LITORAL,84,41.39790,2.20884,8,10,Sant Martí,68,El Poblenou,8005,26
