station_id,address,lat,lon,altitude,post_code,capacity
157,"C/ LLULL, 465",41.4132316,2.2177652,4,8019,33
158,"RAMBLA DE PRIM, 19",41.4116634,2.2183313,4,8019,31
159,"AV. DIAGONAL, 26",41.4110822,2.2163136,4,8019,36
160,"AV. D'EDUARD MARISTANY, 1 /FORUM",41.4109763,2.2193724,4,8019,33
161,"C/ RAMON TURRÓ, 91",41.3953011,2.1965965,4,8005,27
162,"C/ RAMON TURRÓ, 292",41.4038559,2.2084257,3,8005,27
163,"AV. ICÀRIA, 202",41.3942108,2.2008756,3,8005,27
164,"C/ INDEPENDÈNCIA, 379",41.4118378,2.1778852,46,8026,27
165,"C/ DEL DOCTOR TRUETA, 222",41.3992169,2.2041415,3,8005,27
166,"C/ BILBAO, 2",41.4008312,2.206645,3,8005,27
167,"C/ BAC DE RODA, 11",41.4023354,2.2105777,3,8005,21
168,SELVA DE MAR / PG. DEL TAULAT,41.4053697,2.2135818,5,8019,27
170,"AV. LITORAL, 40 (D)",41.3896642,2.1999572,6,8005,54
171,"AV. LITORAL, 172",41.3919877,2.2037136,5,8005,54
173,"AV.LITORAL, 84",41.3979002,2.2088454,8,8005,26
174,"PG. DE GARCIA FÀRIA, 21/ESPRONCEDA",41.400654,2.210191,6,8005,27
175,"C/ LLULL, 309",41.4065291,2.2091221,4,8019,27
176,"PG. DE GARCIA FÀRIA, 37/JOSEP FERRATER",41.403216,2.2136,6,8019,31
177,"C/ ROSSELLÓ, 557",41.4110754,2.1809764,33,8026,38
178,"PG. DE GARCIA FÀRIA, 85",41.4053649,2.2162094,7,8019,27
180,"GRAN VIA DE LES CORTS CATALANES, 179 (D)",41.3675574,2.1388216,14,8014,50
182,"C/ SANT PERE D´ABANTO, 2",41.371366,2.143565,18,8014,33
183,"C/ GAVÀ, 1",41.3723682,2.1419494,18,8014,30
184,"C/ QUETZAL, 22-24",41.3675438,2.1342316,22,8014,27
185,"C/GAVÀ, 81",41.3703717,2.1389439,20,8014,17
186,"C/CONSELL DE CENT, 6",41.3755503,2.1439036,27,8014,26
187,"C/ DE SANT PAU, 89 - 97",41.3768806,2.1698206,5,8001,15
188,PG. SANT ANTONI /PL. SANTS,41.3756948,2.1358571,30,8014,27
189,"C/ BRUC, 130",41.3969839,2.1661852,34,8037,28
190,"AV. LITORAL, 72",41.3961412,2.2078439,6,8005,29
191,"C/ ENTENÇA, 137",41.381951,2.147474,15,8015,37
192,"C/ JOAN GÜELL, 50",41.3786364,2.1335494,33,8028,21
