barId,barName,barType,addressType,addressName,addressNumber,neighborhoodId,neighborhoodName,districtId,districtName,postCode,latitude,longitude
﻿99400070357,Diobar,Bars I Pubs Musicals,AVINGUDA,MARQUÈS DE L'ARGENTERA,27,4,"Sant Pere, Santa Caterina I La Ribera",1,Ciutat Vella,8003,41.38550,2.18545
﻿96309203840,Bar Musical Contraste,Karaokes,CARRER,MUNTANER,130,8,L'antiga Esquerra De L'eixample,2,Eixample,8036,41.38982,2.15541
﻿98049115349,Bar Musical Sol De Nit,Bars I Pubs Musicals,PLAÇA,SOL,9,31,La Vila De Gràcia,6,Gràcia,8012,41.40183,2.15693
﻿99400142309,Venta Flamenco Barcelona,Tablaos Flamencs,CARRER,MARQUÈS DE BARBERÀ,6,1,El Raval,1,Ciutat Vella,8001,41.37873,2.17251
﻿75990090931,Luz De Gas * En Remodelació,Teatres|Discoteques,CARRER,MUNTANER,246,26,Sant Gervasi - Galvany,5,Sarrià-sant Gervasi,8021,41.39462,2.14906
﻿96005085900,Bar Musical Barroc,Bars I Pubs Musicals,,REC,67,4,"Sant Pere, Santa Caterina I La Ribera",1,Ciutat Vella,8003,41.38468,2.18347
﻿75990076519,Bar Musical Basel 79,Bars I Pubs Musicals,CARRER,LORETO,5,19,Les Corts,4,Les Corts,8029,41.38890,2.14172
﻿99400033861,Bar La Rouge Raval Barcelona,Bars I Pubs Musicals,RAMBLA,RAVAL,10,1,El Raval,1,Ciutat Vella,8001,41.37867,2.16893
﻿277161249,Bar Musical Barcota,Bars I Pubs Musicals,,CANVIS NOUS,14,4,"Sant Pere, Santa Caterina I La Ribera",1,Ciutat Vella,8003,41.38306,2.18190
﻿99400258359,Bar Musical Polaroid Bar,Bars I Pubs Musicals,CARRER,CÒDOLS,29,2,El Barri Gòtic,1,Ciutat Vella,8002,41.37935,2.17874
﻿75990272030,Bar Musical Inercia,Bars I Pubs Musicals,CARRER,ARIBAU,124,8,L'antiga Esquerra De L'eixample,2,Eixample,8036,41.39119,2.15585
﻿75990263715,Discoteca Otto Zutz,Discoteques,CARRER,DE LINCOLN,15,26,Sant Gervasi - Galvany,5,Sarrià-sant Gervasi,8006,41.40043,2.15000
﻿75990421116,Cocteleria Sips Drinkery House,Cocteleries|Xampanyeries,,MUNTANER,108,8,L'antiga Esquerra De L'eixample,2,Eixample,8036,41.38885,2.15669
﻿75990355982,Solange Cocktails & Luxury Spirits,Cocteleries|Xampanyeries,CARRER,ARIBAU,143,8,L'antiga Esquerra De L'eixample,2,Eixample,8036,41.39226,2.15402
﻿99400194361,Opium Mar Bcn,Discoteques|Restaurants,PASSEIG,MARÍTIM DE LA BARCELONETA - ORIOL BOHIGAS,34,3,La Barceloneta,1,Ciutat Vella,8003,41.38347,2.19548
﻿99400158516,Creperia Creps Al Born,Cocteleries|Xampanyeries,PASSEIG,BORN,12,4,"Sant Pere, Santa Caterina I La Ribera",1,Ciutat Vella,8003,41.38434,2.18270
﻿99400158645,Karaoke Touch Music,Karaokes,CARRER,JOAN MIRÓ,8,67,La Vila Olímpica Del Poblenou,10,Sant Martí,8005,41.38996,2.19658
﻿99400169910,Bar De Copes Sub-rosa,Bars I Pubs Musicals,CARRER,RAURIC,23,2,El Barri Gòtic,1,Ciutat Vella,8002,41.38077,2.17570
﻿75990075446,Bar Musical Samba Brasil *lepant,Bars I Pubs Musicals|Cocteleries|Xampanyeries,CARRER,LEPANT,297,6,La Sagrada Família,2,Eixample,8025,41.40574,2.17482
﻿99400168903,Cocteleria Nosé,Cocteleries|Xampanyeries,PASSEIG,BORN,21,4,"Sant Pere, Santa Caterina I La Ribera",1,Ciutat Vella,8003,41.38501,2.18280
﻿99400109274,Sala De Ball Nueva Época,Discoteques|Salons De Ball,,G.V. CORTS CATALANES,770,5,El Fort Pienc,2,Eixample,8013,41.39848,2.18075
﻿99400204473,Sala-escenari,Discoteques,PLAÇA,REIAL,7,2,El Barri Gòtic,1,Ciutat Vella,8002,41.38057,2.17519
﻿99400105865,Bar Mau Mau,Cocteleries|Xampanyeries,CARRER,FONTRODONA,33,11,El Poble-sec,3,Sants-Montjuïc,8004,41.37245,2.16671
﻿99400158658,Bar Musical Le Journal,Bars I Pubs Musicals|Cocteleries|Xampanyeries,CARRER,FRANCISCO GINER,36,31,La Vila De Gràcia,6,Gràcia,8012,41.39951,2.15882
﻿99400073886,Flaherty's Irish Bar,Bars I Pubs Musicals,PLAÇA,JOAQUIM XIRAU I PALAU,3,2,El Barri Gòtic,1,Ciutat Vella,8002,41.37836,2.17659
﻿99400161793,Bar Musical Vinilo,Bars I Pubs Musicals|Cocteleries|Xampanyeries,CARRER,MATILDE,2,31,La Vila De Gràcia,6,Gràcia,8012,41.40052,2.15700
﻿99400172660,Bar Musical Ballbreak,Bars I Pubs Musicals,CARRER,MATILDE,7,31,La Vila De Gràcia,6,Gràcia,8012,41.40050,2.15691
﻿99400476312,Discoteca Hyde Club,Discoteques,,PTGE DOMINGO,3,7,La Dreta De L'eixample,2,Eixample,8007,41.39272,2.16252
﻿99400201862,Pub The George Payne Irish Bar,Bars I Pubs Musicals,PLAÇA,URQUINAONA,5,7,La Dreta De L'eixample,2,Eixample,8010,41.38951,2.17297
﻿99400466415,Restaurant El Mamón,Cocteleries|Xampanyeries|Restaurants,,PTGE PERE CALDERS,2,10,Sant Antoni,2,Eixample,8015,41.37611,2.16291
﻿92086037747,Discoteca Magic Rock Barcelona,Discoteques,PASSEIG,PICASSO,40,4,"Sant Pere, Santa Caterina I La Ribera",1,Ciutat Vella,8003,41.38596,2.18501
﻿99400566394,Bar Muy Buenas,Cocteleries|Xampanyeries,CARRER,CARME,63,1,El Raval,1,Ciutat Vella,8001,41.38093,2.16803
﻿99400596452,Restaurant Pur - Impur,Cocteleries|Xampanyeries|Restaurants,,PTGE CONCEPCIÓ,11,7,La Dreta De L'eixample,2,Eixample,8008,41.39449,2.16007
﻿93221210635,Bar Musical Com-tu,Bars I Pubs Musicals,CARRER,PERE IV,101,66,El Parc I La Llacuna Del Poblenou,10,Sant Martí,8018,41.39901,2.19445
﻿99400709297,33/45 Bar & Gallery,Cocteleries|Xampanyeries,CARRER,JOAQUÍN COSTA,4,1,El Raval,1,Ciutat Vella,8001,41.38112,2.16739
﻿75990028307,Cocteleria Trípode,Cocteleries|Xampanyeries,PASSEIG,BORN,17,4,"Sant Pere, Santa Caterina I La Ribera",1,Ciutat Vella,8003,41.38473,2.18262
﻿75990017964,Bar Musical Quilombo,Bars I Pubs Musicals,CARRER,ARIBAU,149,8,L'antiga Esquerra De L'eixample,2,Eixample,8036,41.39259,2.15364
﻿119161015,Bar Zelig,Bars I Pubs Musicals,CARRER,CARME,116,1,El Raval,1,Ciutat Vella,8001,41.37979,2.16627
﻿99400384107,Restaurant Club Bananas,Bars I Pubs Musicals|Restaurants,CARRER,FUSINA,7,4,"Sant Pere, Santa Caterina I La Ribera",1,Ciutat Vella,8003,41.38651,2.18319
﻿92086009134,Bar Musical La Garrafa Dels Beatles,Bars I Pubs Musicals,CARRER,JOAN GÜELL,150,19,Les Corts,4,Les Corts,8028,41.38316,2.13149
﻿99400370747,La Sonora De Gràcia,Bars I Pubs Musicals,CARRER,RIERA DE SANT MIQUEL,59,31,La Vila De Gràcia,6,Gràcia,8006,41.39851,2.15500
﻿75990281100,Sala Soda Acústic,Bars I Pubs Musicals,CARRER,GUILLERIES,6,31,La Vila De Gràcia,6,Gràcia,8012,41.40310,2.15701
﻿99400328189,Discoteca Sala Bloc,Discoteques,,RDA SANT PERE,19,7,La Dreta De L'eixample,2,Eixample,8010,41.38962,2.17404
﻿75990271886,Sala Vivaldi,Bars I Pubs Musicals|Restaurants,CARRER,LLANÇA,5,10,Sant Antoni,2,Eixample,8015,41.37558,2.15133
﻿75990044525,Sala De Ball Duvet,Discoteques|Salons De Ball,,CÒRSEGA,327,31,La Vila De Gràcia,6,Gràcia,8037,41.39722,2.16005
﻿99400723716,Espai Gastronòmic Born 14,Cocteleries|Xampanyeries|Restaurants,CARRER,DEL SABATERET,2,4,"Sant Pere, Santa Caterina I La Ribera",1,Ciutat Vella,8003,41.38556,2.18211
﻿75990162835,Bar Musical Ceferino,Bars I Pubs Musicals,,PAMPLONA,88,66,El Parc I La Llacuna Del Poblenou,10,Sant Martí,8018,41.39691,2.19130
﻿75990029749,Cocteleria Caribbean Club,Cocteleries|Xampanyeries,CARRER,SITGES,5,1,El Raval,1,Ciutat Vella,8001,41.38449,2.16961
﻿75990431415,Bar Musical New Underground,Bars I Pubs Musicals,CARRER,AVIACIÓ,5,19,Les Corts,4,Les Corts,8029,41.38737,2.13545
﻿75990473394,Harlem Jazz Club,Bars I Pubs Musicals,CARRER,COMTESSA DE SOBRADIEL,8,2,El Barri Gòtic,1,Ciutat Vella,8002,41.38117,2.17842
﻿75990473967,Restaurant Bar Margarita Blue,Bars I Pubs Musicals|Restaurants,CARRER,JOSEP ANSELM CLAVÉ,6,2,El Barri Gòtic,1,Ciutat Vella,8002,41.37797,2.17841
﻿75990364728,Sala Almo2bar,Discoteques,CARRER,BRUNIQUER,59,31,La Vila De Gràcia,6,Gràcia,8024,41.40563,2.16212
﻿99400504492,Sala De Festes La Paloma,Sales De Festes,CARRER,TIGRE,27,1,El Raval,1,Ciutat Vella,8001,41.38241,2.16421
﻿75990368466,Sala Almodobar,Discoteques|Karaokes,CARRER,GRASSOT,36,32,El Camp D'en Grassot I Gràcia Nova,6,Gràcia,8025,41.40361,2.16756
﻿75990348434,Bar Café Del Born Nou,Bars I Pubs Musicals,PLAÇA,COMERCIAL,10,4,"Sant Pere, Santa Caterina I La Ribera",1,Ciutat Vella,8003,41.38514,2.18365
﻿75990363296,Cocteleria Stereo 18,Cocteleries|Xampanyeries,PASSEIG,BORN,18,4,"Sant Pere, Santa Caterina I La Ribera",1,Ciutat Vella,8003,41.38450,2.18280
﻿99400631235,Jardín De Diana,Cocteleries|Xampanyeries,,G.V. CORTS CATALANES,668,7,La Dreta De L'eixample,2,Eixample,8010,41.39159,2.17158
﻿75990497941,The Philharmonic,Bars I Pubs Musicals|Restaurants,CARRER,MALLORCA,204,8,L'antiga Esquerra De L'eixample,2,Eixample,8036,41.39031,2.15833
﻿99400603521,Restaurant Volta Al Món,Cocteleries|Xampanyeries|Restaurants,CARRER,MUNTANER,51,8,L'antiga Esquerra De L'eixample,2,Eixample,8011,41.38607,2.16000
﻿75990331974,Bar Restaurant La Fourmi,Cocteleries|Xampanyeries|Restaurants,CARRER,ALBA,2,31,La Vila De Gràcia,6,Gràcia,8012,41.40200,2.16176
﻿75990491713,Discoteca Mojito Club,Discoteques,CARRER,ROSSELLÓ,217,8,L'antiga Esquerra De L'eixample,2,Eixample,8008,41.39315,2.15693
﻿99400594182,Pub The Lima House,Bars I Pubs Musicals,CARRER,CARDERS,31,4,"Sant Pere, Santa Caterina I La Ribera",1,Ciutat Vella,8003,41.38699,2.18030
﻿99400595721,Restaurant Nº30 Barceloneta,Cocteleries|Xampanyeries|Restaurants,PASSEIG,JOAN BORBÓ COMTE BARCELONA,30,3,La Barceloneta,1,Ciutat Vella,8003,41.37904,2.18804
﻿75990662594,Santé Café,Cocteleries|Xampanyeries,,COMTE D'URGELL,171,9,La Nova Esquerra De L'eixample,2,Eixample,8036,41.38795,2.15064
﻿75990699880,Bar Origginals Club,Bars I Pubs Musicals,CARRER,GAIARRE,50,18,Sants,3,Sants-Montjuïc,8014,41.37347,2.14029
﻿92086026486,Bar Musical Kahala,Bars I Pubs Musicals,AVINGUDA,DIAGONAL,537,19,Les Corts,4,Les Corts,8029,41.39071,2.13804
﻿99400061927,Bar Musical Bubblic Bar,Bars I Pubs Musicals,CARRER,MARIÀ CUBÍ,183,26,Sant Gervasi - Galvany,5,Sarrià-sant Gervasi,8021,41.39538,2.14488
