name,addresses_road_name,addresses_start_street_number,addresses_district_id,addresses_district_name,geo_epgs_4326_lat,geo_epgs_4326_lon
Discoteca Restaurant Japonès Shôko,Passeig Marítim de la Barceloneta - Oriol Bohigas,36,1,Ciutat Vella,41.38346152967782,2.195232897771743
Discoteca Restaurant Japonès Shôko,Passeig Marítim de la Barceloneta - Oriol Bohigas,36,1,Ciutat Vella,41.38346152967782,2.195232897771743
Discoteca Restaurant Japonès Shôko,Passeig Marítim de la Barceloneta - Oriol Bohigas,36,1,Ciutat Vella,41.38346152967782,2.195232897771743
Bar Musical Jazzpetit,C Provença,181,2,Eixample,41.391037249428315,2.156390006958693
Bar Musical Ginger,C Palma de Sant Just,1,1,Ciutat Vella,41.38285062054267,2.178550509469824
Bar Musical The Daily Telegraph,C Pau Claris,139,2,Eixample,41.3936572682303,2.1657598568272727
Bar musical Terra,Pl Virreina,5,6,Gràcia,41.404881196137076,2.157013298175274
Bar musical Pastís,Santa Mònica,4,1,Ciutat Vella,41.377361653351976,2.1751586961120193
Bar Cafeteria Cafè d'Annunzio,Pl Vicenç Martorell,5,1,Ciutat Vella,41.384400652902265,2.1688232815018913
Bar Cafeteria Cafè d'Annunzio,Pl Vicenç Martorell,5,1,Ciutat Vella,41.384400652902265,2.1688232815018913
Bar Restaurant Café San Telmo,C Buenos Aires,60,2,Eixample,41.39339458663563,2.1485624883305787
Bar Restaurant Café San Telmo,C Buenos Aires,60,2,Eixample,41.39339458663563,2.1485624883305787
Bar Restaurant Café San Telmo,C Buenos Aires,60,2,Eixample,41.39339458663563,2.1485624883305787
Bar restaurant Kasparo,Pl Vicenç Martorell,4,1,Ciutat Vella,41.3844755308749,2.1689765625507604
Bar musical karaoke A viva voz *Rocafort,Rocafort,187,2,Eixample,41.38327627376151,2.147895054441786
Bar musical karaoke A viva voz *Rocafort,Rocafort,187,2,Eixample,41.38327627376151,2.147895054441786
Cerveseria The Fastnet Irish Pub,Pg Joan Borbó Comte Barcelona,22,1,Ciutat Vella,41.37959219784202,2.187823391218472
Bar Cocteleria 14 de la Rosa,C Martínez de la Rosa,14,6,Gràcia,41.399347247454045,2.1597416525304935
Bar Cocteleria 14 de la Rosa,C Martínez de la Rosa,14,6,Gràcia,41.399347247454045,2.1597416525304935
Cocteleria Stinger,C Còrsega,340,2,Eixample,41.3977203867166,2.161082480808859
Cocteleria Stinger,C Còrsega,340,2,Eixample,41.3977203867166,2.161082480808859
The Palace Bar,C Calàbria,292,2,Eixample,41.38854271202131,2.1435335515980345
Cocteleria Sucu Sucu,C París,150,2,Eixample,41.39176325465656,2.150921032655794
Cocteleria Sucu Sucu,C París,150,2,Eixample,41.39176325465656,2.150921032655794
Bar Bobby's Free,Pau Claris,85,2,Eixample,41.38992456175413,2.170690597891869
White Shisha Lounge,C Doctor Trueta,218,10,Sant Martí,41.398639303298225,2.203701225237378
Discoteca Antilla  Salsa Barcelona,Aragó,141,2,Eixample,41.38459846390524,2.154612386674822
Discoteca Antilla  Salsa Barcelona,Aragó,141,2,Eixample,41.38459846390524,2.154612386674822
Discoteca Antilla  Salsa Barcelona,Aragó,141,2,Eixample,41.38459846390524,2.154612386674822
Bar Musical Ende,C Casanova,210,2,Eixample,41.39194613153293,2.150351127690915
Restaurant Cocteleria Ajoblanco,C Tuset,20,5,Sarrià-Sant Gervasi,41.396011105884874,2.1521038034617512
Restaurant Cocteleria Ajoblanco,C Tuset,20,5,Sarrià-Sant Gervasi,41.396011105884874,2.1521038034617512
Restaurant Cocteleria Ajoblanco,C Tuset,20,5,Sarrià-Sant Gervasi,41.396011105884874,2.1521038034617512
Bar Restaurant Menta,C Casp,171,2,Eixample,41.39902924346256,2.1833714894413228
Bar Restaurant Menta,C Casp,171,2,Eixample,41.39902924346256,2.1833714894413228
Bar musical Woody,Pl Sol,7,6,Gràcia,41.4017887133653,2.1569922437175233
Bar musical Woody,Pl Sol,7,6,Gràcia,41.4017887133653,2.1569922437175233
Bar musical Woody,Pl Sol,7,6,Gràcia,41.4017887133653,2.1569922437175233
Restaurant Season Tapas,C Aribau,125,2,Eixample,41.391371633519185,2.155264470251063
Restaurant Season Tapas,C Aribau,125,2,Eixample,41.391371633519185,2.155264470251063
Restaurant Season Tapas,C Aribau,125,2,Eixample,41.391371633519185,2.155264470251063
Bar Musical Sinestesia,C Santa Caterina,52,3,Sants-Montjuïc,41.379620570361716,2.13604834950894
