"station_id","name","physical_configuration","lat","lon","altitude","address","cross_street","post_code","capacity","is_charging_station","short_name","nearby_distance","x_ride_code_support","rental_uris","is_valet_station","last_updated","ttl"
372,"C/ RIBES, 77","ELECTRICBIKESTATION",41.4001015,2.1841711,9,"C/ RIBES, 77","02-Eixample/05-el Fort Pienc",8013,27,TRUE,372,1000,TRUE,NA,NA,1756677602,0
373,"AV. PARAL.LEL, 132","ELECTRICBIKESTATION",41.3750995,2.1613897,13,"AV. PARAL.LEL, 132","02-Eixample/10-Sant Antoni",8015,30,TRUE,373,1000,TRUE,NA,NA,1756677602,0
374,"PG. DE GRÀCIA, 89","ELECTRICBIKESTATION",41.3949729,2.1612814,37,"PG. DE GRÀCIA, 89","02-Eixample/07-la Dreta de l'Eixample",8008,33,TRUE,374,1000,TRUE,NA,NA,1756677602,0
375,"WORLD TRADE CENTER","ELECTRICBIKESTATION",41.3720293,2.1804468,3,"WORLD TRADE CENTER","01-CiutatVella/01-el Raval",8039,43,TRUE,375,1000,TRUE,NA,NA,1756677602,0
376,"WORLD  TRADE CENTER","ELECTRICBIKESTATION",41.3718728,2.180302,3,"WORLD  TRADE CENTER","01-CiutatVella/01-el Raval",8039,43,TRUE,376,1000,TRUE,NA,NA,1756677602,0
377,"PL. ICTÍNEO","ELECTRICBIKESTATION",41.3776292,2.1836886,2,"PL. ICTÍNEO","01-CiutatVella/02-el Barri Gòtic",8039,29,TRUE,377,1000,TRUE,NA,NA,1756677602,0
378,"PL. JOAQUIM XIRAU I PALAU, 1","ELECTRICBIKESTATION",41.3785379,2.1767427,5,"PL. JOAQUIM XIRAU I PALAU, 1","01-CiutatVella/02-el Barri Gòtic",8002,21,TRUE,378,1000,TRUE,NA,NA,1756677602,0
379,"AV. JOSEP TARRADELLAS, 27","ELECTRICBIKESTATION",41.3829333,2.1420704,35,"AV. JOSEP TARRADELLAS, 27","03-Sants-Montjuïc/18-Sants",8029,20,TRUE,379,1000,TRUE,NA,NA,1756677602,0
380,"C/ DURAN I BAS, 2","ELECTRICBIKESTATION",41.3854094,2.1740155,11,"C/ DURAN I BAS, 2","01-CiutatVella/02-el Barri Gòtic",8002,24,TRUE,380,1000,TRUE,NA,NA,1756677602,0
381,"C/ AGUSTÍ DURAN I SANPERE, 10","ELECTRICBIKESTATION",41.381635534627,2.16772946686476,NA,"C/ AGUSTÍ DURAN I SANPERE, 10","01-CiutatVella/01-el Raval",8001,40,TRUE,381,1000,TRUE,NA,NA,1756677602,0
382,"C/ LOPE DE VEGA, 79","ELECTRICBIKESTATION",41.4038902,2.2041137,3,"C/ LOPE DE VEGA, 79","10-SantMartí/68-el Poblenou",8005,27,TRUE,382,1000,TRUE,NA,NA,1756677602,0
383,"C/ NUMÀNCIA, 2","ELECTRICBIKESTATION",41.381219,2.141767,32,"C/ NUMÀNCIA, 2","03-Sants-Montjuïc/18-Sants",8029,24,TRUE,383,1000,TRUE,NA,NA,1756677602,0
384,"C/ VILAMARÍ, 85","ELECTRICBIKESTATION",41.3807072,2.1468381,28,"C/ VILAMARÍ, 85","02-Eixample/09-la Nova Esquerra de l'Eixample",8015,25,TRUE,384,1000,TRUE,NA,NA,1756677602,0
385,"C/ CASANOVA, 119","ELECTRICBIKESTATION",41.387888,2.1552902,30,"C/ CASANOVA, 119","02-Eixample/08-l'Antiga Esquerra de l'Eixample",8036,30,TRUE,385,1000,TRUE,NA,NA,1756677602,0
386,"AV. PARAL.LEL 164","ELECTRICBIKESTATION",41.3751866,2.1568773,17,"AV. PARAL.LEL 164","02-Eixample/10-Sant Antoni",8015,18,TRUE,386,1000,TRUE,NA,NA,1756677602,0
387,"C/ NÀPOLS, 125","ELECTRICBIKESTATION",41.3957813,2.1787074,15,"C/ NÀPOLS, 125","02-Eixample/05-el Fort Pienc",8013,32,TRUE,387,1000,TRUE,NA,NA,1756677602,0
388,"C/ RIERA ALTA, 6","ELECTRICBIKESTATION",41.3806411,2.1671611,10,"C/ RIERA ALTA, 6","01-CiutatVella/01-el Raval",8001,35,TRUE,388,1000,TRUE,NA,NA,1756677602,0
389,"RECINTE PARC DE LA CIUTADELLA","ELECTRICBIKESTATION",41.3873901,2.1875446,4,"RECINTE PARC DE LA CIUTADELLA","01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",8003,27,TRUE,389,1000,TRUE,NA,NA,1756677602,0
390,"C/ COMERÇ, 36","ELECTRICBIKESTATION",41.3869612,2.1820169,5,"C/ COMERÇ, 36","01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",8003,25,TRUE,390,1000,TRUE,NA,NA,1756677602,0
391,"C/ GRAN DE LA SAGRERA, 74","ELECTRICBIKESTATION",41.4230551,2.1913753,22,"C/ GRAN DE LA SAGRERA, 74","09-SantAndreu/61-la Sagrera",8027,27,TRUE,391,1000,TRUE,NA,NA,1756677602,0
392,"C/ RAMON TURRÓ, 4","ELECTRICBIKESTATION",41.3905303,2.1906339,5,"C/ RAMON TURRÓ, 4","10-SantMartí/67-la Vila Olímpica del Poblenou",8005,19,TRUE,392,1000,TRUE,NA,NA,1756677602,0
393,"C/ LLACUNA, 86","ELECTRICBIKESTATION",41.4022657,2.1976297,3,"C/ LLACUNA, 86","10-SantMartí/68-el Poblenou",8005,32,TRUE,393,1000,TRUE,NA,NA,1756677602,0
394,"C/ DIPUTACIÓ, 226","ELECTRICBIKESTATION",41.3873057,2.1631263,25,"C/ DIPUTACIÓ, 226","02-Eixample/08-l'Antiga Esquerra de l'Eixample",8007,26,TRUE,394,1000,TRUE,NA,NA,1756677602,0
395,"PL. CATALUNYA, 22","ELECTRICBIKESTATION",41.3860607,2.1702467,15,"PL. CATALUNYA, 22","02-Eixample/02-el Barri Gòtic",8002,33,TRUE,395,1000,TRUE,NA,NA,1756677602,0
396,"C/ JOAN MIRÓ, 2-12","ELECTRICBIKESTATION",41.3890253,2.1968267,5,"C/ JOAN MIRÓ, 2-12","10-SantMartí/67-la Vila Olímpica del Poblenou",8005,32,TRUE,396,1000,TRUE,NA,NA,1756677602,0
397,"AV. LITORAL (PG MARÍTIM DEL PORT OLÍMPI","ELECTRICBIKESTATION",41.3889129,2.1993105,6,"AV. LITORAL (PG MARÍTIM DEL PORT OLÍMPIC)","10-SantMartí/67-la Vila Olímpica del Poblenou",8005,27,TRUE,397,1000,TRUE,NA,NA,1756677602,0
398,"PG. MARÍTIM DE LA BARCELONETA/ANDREA DÒ","ELECTRICBIKESTATION",41.380955,2.1934636,4,"PG. MARÍTIM DE LA BARCELONETA/ANDREA DÒRIA","01-CiutatVella/03-la Barceloneta",8003,35,TRUE,398,1000,TRUE,NA,NA,1756677602,0
399,"C/ PAVIA, 3","ELECTRICBIKESTATION",41.3734706,2.1332694,23,"C/ PAVIA, 3","03-Sants-Montjuïc/18-Sants",8028,27,TRUE,399,1000,TRUE,NA,NA,1756677602,0
400,"MOLL ORIENTAL","ELECTRICBIKESTATION",41.3694508,2.1879597,3,"MOLL ORIENTAL","01-CiutatVella/03-la Barceloneta",8039,44,TRUE,400,1000,TRUE,NA,NA,1756677602,0
401,"PLA DE PALAU","ELECTRICBIKESTATION",41.382418,2.183723,4,"PLA DE PALAU","01-CiutatVella/02-el Barri Gòtic",8002,24,TRUE,401,1000,TRUE,NA,NA,1756677602,0
402,"PG. DE COLOM (VIA LAIETANA)","ELECTRICBIKESTATION",41.380628,2.1821917,4,"PG. DE COLOM (VIA LAIETANA)","01-CiutatVella/02-el Barri Gòtic",8002,31,TRUE,402,1000,TRUE,NA,NA,1756677602,0
403,"C/ VALLESPIR, 49","ELECTRICBIKESTATION",41.3796421,2.1368202,32,"C/ VALLESPIR, 49","03-Sants-Montjuïc/18-Sants",8014,22,TRUE,403,1000,TRUE,NA,NA,1756677602,0
404,"C/ JUAN GRIS, 28","ELECTRICBIKESTATION",41.3653426,2.1331357,11,"C/ JUAN GRIS, 28","03-Sants-Montjuïc/16-la Bordeta",8014,32,TRUE,404,1000,TRUE,NA,NA,1756677602,0
