id,name,population
12050_AM,"Coves de Vinromà, les agregacion de municipios",4974.0
12053,Chilches/Xilxes,2795.0
12072_AM,Llucena/Lucena del Cid agregacion de municipios,5736.0
12077,Moncofa,6958.0
12080_AM,Morella agregacion de municipios,5497.0
12082,Nules,13256.0
12084,Onda,24939.0
12085,Oropesa del Mar/Orpesa,9755.0
12089,Peníscola/Peñíscola,7882.0
12104,Segorbe,9139.0
12106_AM,Soneja agregacion de municipios,5194.0
12117,Torreblanca,5606.0
12121_AM,Traiguera agregacion de municipios,5166.0
12124,Vall d'Alba,2943.0
12126,"Vall d'Uixó, la",31549.0
12128_AM,Vilafamés agregacion de municipios,3339.0
12129_AM,Vilafranca/Villafranca del Cid agregacion de municipios,5881.0
12135,Vila-real,51130.0
12136,"Vilavella, la",3111.0
12138,Vinaròs,28862.0
12140_AM,Viver agregacion de municipios,5293.0
12901,"Alqueries, les/Alquerías del Niño Perdido",4539.0
12902_AM,Sant Joan de Moró agregacion de municipios,4546.0
13001_AM,Abenójar agregacion de municipios,4871.0
13005,Alcázar de San Juan,30548.0
13009_AM,Aldea del Rey agregacion de municipios,3255.0
13011,Almadén,5105.0
13013,Almagro,8896.0
13015,Almodóvar del Campo,5947.0
13019,Argamasilla de Alba,6844.0
13020_AM,Argamasilla de Calatrava agregacion de municipios,6279.0
13023,Bolaños de Calatrava,11992.0
13027,Calzada de Calatrava,3615.0
13028_AM,Campo de Criptana agregacion de municipios,13801.0
13031,Carrión de Calatrava,3086.0
13033_AM,Castellar de Santiago agregacion de municipios,4860.0
13034,Ciudad Real,75104.0
13038_AM,Chillón agregacion de municipios,4774.0
13039,Daimiel,17771.0
13042_AM,Fuencaliente agregacion de municipios,4183.0
13044_AM,Fuente el Fresno agregacion de municipios,4017.0
13047,Herencia,8510.0
13052,Malagón,7842.0
13053_AM,Manzanares agregacion de municipios,18545.0
13054,Membrilla,5927.0
13056,Miguelturra,15658.0
13058,Moral de Calatrava,5211.0
13061,Pedro Muñoz,7325.0
13063_AM,Piedrabuena agregacion de municipios,6779.0
13064,Poblete,2759.0
13065_AM,Porzuna agregacion de municipios,4553.0
13066,Pozuelo de Calatrava,3623.0
13068_AM,Puebla de Don Rodrigo agregacion de municipios,4862.0
13071,Puertollano,46036.0
13077,Santa Cruz de Mudela,4017.0
13078,Socuéllamos,12067.0
13079,"Solana, La",15357.0
13082,Tomelloso,35984.0
13083_AM,Torralba de Calatrava agregacion de municipios,3969.0
13085,Torrenueva,2708.0
13087,Valdepeñas,30218.0
13089_AM,Villahermosa agregacion de municipios,5798.0
13092_AM,Villanueva de la Fuente agregacion de municipios,6672.0
13093_AM,Villanueva de los Infantes agregacion de municipios,5318.0
13096,Villarrubia de los Ojos,9722.0
13097_AM,Villarta de San Juan agregacion de municipios,5209.0
13098_AM,Viso del Marqués agregacion de municipios,2974.0
